sample_id_canonical	country_iso3	country_program_target	epoch_id	epoch_label	base_block_id	base_block_level	subblock_id	subblock_level	base_block_size	subblock_size	dominant_block_flag	bioproject_accession	study_accession	year	month	week_key	collection_date_raw	prn_interpretable	prn_disrupted	prn_event_id
SAMD00046894					singleton:SAMD00046894	sample_id_canonical_singleton	singleton:SAMD00046894	base_block_only	1	1	False						missing	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00328237	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB7578	bioproject_accession	PRJDB7578::year=2018	base_block_plus_year	11	3	False	PRJDB7578	PRJDB7578	2018			2018	True	False	prn_evt_intact
SAMD00549575	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB7578	bioproject_accession	PRJDB7578::year=2018	base_block_plus_year	11	3	False	PRJDB7578	PRJDB7578	2018			2018	True	False	prn_evt_intact
SAMD00570813	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB7578	bioproject_accession	PRJDB7578::year=2020	base_block_plus_year	11	1	False	PRJDB7578	PRJDB7578	2020			2020	True	False	prn_evt_intact
SAMD00885979	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20292	study_accession	PRJDB20292::week=2024-W50	base_block_plus_week_key	2	2	False		PRJDB20292	2024	12	2024-W50	2024-12-09	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00885980	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20292	study_accession	PRJDB20292::week=2024-W50	base_block_plus_week_key	2	2	False		PRJDB20292	2024	12	2024-W50	2024-12-09	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892034	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2024-W50	base_block_plus_week_key	20	1	True		PRJDB20413	2024	12	2024-W50	2024-12-14	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892035	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2025-W02	base_block_plus_week_key	20	1	True		PRJDB20413	2025	1	2025-W02	2025-01-06	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892036	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2025-W03	base_block_plus_week_key	20	2	True		PRJDB20413	2025	1	2025-W03	2025-01-15	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892037	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2025-W03	base_block_plus_week_key	20	2	True		PRJDB20413	2025	1	2025-W03	2025-01-14	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892038	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2025-W04	base_block_plus_week_key	20	6	True		PRJDB20413	2025	1	2025-W04	2025-01-21	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892039	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2025-W04	base_block_plus_week_key	20	6	True		PRJDB20413	2025	1	2025-W04	2025-01-24	False	False	prn_evt_insufficient__not_available_current_step3
SAMD00892040	JPN	jpn_ap_without_prn	jpn_ap_without_prn	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	PRJDB20413::week=2025-W04	base_block_plus_week_key	20	6	True		PRJDB20413	2025	1	2025-W04	2025-01-22	False	False	prn_evt_insufficient__not_available_current_step3
