country_iso3	country_name	year	current_interpretable	current_total_genomes	current_disrupted	current_ipw_prevalence	success_runs_reconciled	success_runs_missing_manifest	planned_only_remaining	catalog_only_remaining	rescued_interpretable	rescued_disrupted_est	reconciled_interpretable	reconciled_disrupted_est	reconciled_total_genomes_est	reconciled_ipw_prevalence_est	current_year_ge10	reconciled_year_ge10	max_attainable_interpretable	max_attainable_year_ge10	distance_to_ge10_readiness	priority_run_accessions	priority_plan_row_ids	recovery_status	manifest_backfill_required	notes	priority_rank_within_country
CHN	China	2024	25	506	0	0.0	36	28	60	0	36	0	61	0	542	0.0	True	True	121	True	0	SRR28622239|SRR28622191|SRR28622180|SRR28622169|SRR28622208|SRR28622161|SRR28622199|SRR28622197|SRR28622190|SRR28622189|SRR28622188|SRR28622186|SRR28622185|SRR28622183|SRR28622181|SRR28622171|SRR28622170|SRR28622168|SRR28622212|SRR28622205|SRR28622203|SRR28622202|SRR28622201|SRR28622200|SRR28622163|SRR28622162|SRR28622159|SRR28622157|SRR31615310|SRR31615308|SRR31615307|SRR31615284|SRR31615282|SRR31615279|SRR31615277|SRR31615271	gapfill_0005660|gapfill_0005693|gapfill_0005639|gapfill_0005853|gapfill_0005813|gapfill_0005683|gapfill_0006622|gapfill_0006018|gapfill_0005923|gapfill_0005833|gapfill_0005906|gapfill_0005890|gapfill_0005864|gapfill_0006039|gapfill_0005814|gapfill_0006358|gapfill_0006470|gapfill_0006364|gapfill_0006628|gapfill_0005873|gapfill_0005756|gapfill_0005828|gapfill_0005912|gapfill_0005600|gapfill_0005745|gapfill_0006065|gapfill_0005975|gapfill_0001795|gapfill_0002571|gapfill_0002347|gapfill_0003932|gapfill_0002654|gapfill_0002871|gapfill_0001453|gapfill_0003086	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	1
CHN	China	2019	6	93	0	0.0	75	74	101	0	75	0	81	0	168	0.0	False	True	182	True	0	SRR16306221|SRR16303924|SRR16303911|SRR16303954|SRR16303941|SRR16303939|SRR16303936|SRR16303927|SRR27796294|SRR27796293|SRR27796292|SRR27796289|SRR27796285|SRR27796065|SRR27796062|SRR27796061|SRR27796060|SRR27796058|SRR27796053|SRR27796049|SRR27796046|SRR27796044|SRR27796039|SRR27796037|SRR27796035|SRR27796031|SRR27796558|SRR27796556|SRR27796554|SRR27796552|SRR27796551|SRR27796550|SRR27796547|SRR27796546|SRR27796544|SRR27796541|SRR27796521|SRR27796520|SRR27796519|SRR27796514|SRR27796513|SRR27796510|SRR27796509|SRR27796508|SRR27796505|SRR27796503|SRR27796501|SRR27796500|SRR27796498|SRR27796494|SRR27796262|SRR27796219|SRR27796216|SRR27796215|SRR27796214|SRR27796211|SRR27795988|SRR27795984|SRR27796618|SRR27796615|SRR27796438|SRR27796437|SRR27796436|SRR27796435|SRR27796432|SRR27796431|SRR27796430|SRR27796427|SRR27796425|SRR27796424|SRR27796208|SRR27796327|SRR27796325|SRR27796589|SRR27796585	gapfill_0005196|gapfill_0005145|gapfill_0006305|gapfill_0005894|gapfill_0006206|gapfill_0005225|gapfill_0005609|gapfill_0005724|gapfill_0005779|gapfill_0005572|gapfill_0005706|gapfill_0005731|gapfill_0005787|gapfill_0005990|gapfill_0005535|gapfill_0005765|gapfill_0005680|gapfill_0005584|gapfill_0005856|gapfill_0005616|gapfill_0005270|gapfill_0005807|gapfill_0005759|gapfill_0005726|gapfill_0005764|gapfill_0006293|gapfill_0005941|gapfill_0005810|gapfill_0005603|gapfill_0005773|gapfill_0005642|gapfill_0005685|gapfill_0005733|gapfill_0005798|gapfill_0005636|gapfill_0005288|gapfill_0005382|gapfill_0005355|gapfill_0005301|gapfill_0005398|gapfill_0005268|gapfill_0005280|gapfill_0005214|gapfill_0005327|gapfill_0005260|gapfill_0005285|gapfill_0005349|gapfill_0005165|gapfill_0005202|gapfill_0006006|gapfill_0005774|gapfill_0005885|gapfill_0006013|gapfill_0005650|gapfill_0005654|gapfill_0005831|gapfill_0005830|gapfill_0005738|gapfill_0005666|gapfill_0005278|gapfill_0005246|gapfill_0005198|gapfill_0005380|gapfill_0005234|gapfill_0005265|gapfill_0005183|gapfill_0005378|gapfill_0005248|gapfill_0005299|gapfill_0005782|gapfill_0005668|gapfill_0005879|gapfill_0005953|gapfill_0006932	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	2
CHN	China	2022	36	64	10	0.2391505773732234	35	33	85	0	35	8	71	18	99	0.2535211267605634	True	True	156	True	0	SRR27796527|SRR27796525|SRR27796099|SRR27796094|SRR27796607|SRR27796605|SRR27796603|SRR27796602|SRR27796417|SRR27796195|SRR27796193|SRR29825615|SRR27796192|SRR27796191|SRR27796187|SRR27796184|SRR27796183|SRR27796181|SRR27796180|SRR27796179|SRR27796176|SRR27796411|SRR27796408|SRR27796404|SRR27796396|SRR27796390|SRR27796171|SRR27796166|SRR27796164|SRR27796157|SRR27796150|SRR27796147|SRR27796146|SRR27796583|SRR31615270	gapfill_0005203|gapfill_0005540|gapfill_0005822|gapfill_0006157|gapfill_0005180|gapfill_0005897|gapfill_0005592|gapfill_0005736|gapfill_0005857|gapfill_0005146|gapfill_0005300|gapfill_0005464|gapfill_0005559|gapfill_0005499|gapfill_0005399|gapfill_0005308|gapfill_0005514|gapfill_0005487|gapfill_0005493|gapfill_0005554|gapfill_0005568|gapfill_0005869|gapfill_0005658|gapfill_0005722|gapfill_0006058|gapfill_0006254|gapfill_0006142|gapfill_0005717|gapfill_0006019|gapfill_0005569|gapfill_0006147|gapfill_0005408|gapfill_0002969	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	3
CHN	China	2021	25	60	0	0.0	6	6	21	0	6	0	31	0	66	0.0	True	True	52	True	0	SRR27796538|SRR27796534|SRR27796532|SRR27796609|SRR27796206|SRR27796199	gapfill_0005694|gapfill_0005783|gapfill_0005391|gapfill_0005454|gapfill_0005698|gapfill_0005613	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	4
CHN	China	2023	28	59	3	0.1048044295737554	12	9	34	0	12	1	40	4	71	0.1	True	True	74	True	0	SRR27796276|SRR27796423|SRR27796145|SRR27796144|SRR27796140|SRR27796352|SRR27796347|SRR28622224|SRR28622220|SRR28622218|SRR28622216|SRR31615317	gapfill_0007004|gapfill_0006953|gapfill_0005414|gapfill_0005581|gapfill_0006891|gapfill_0007021|gapfill_0006996|gapfill_0006354|gapfill_0006352|gapfill_0006139|gapfill_0005979|gapfill_0001214	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	5
CHN	China	2018	7	34	0	0.0	123	121	160	0	123	0	130	0	157	0.0	False	True	290	True	0	SRR8372602|SRR8372600|SRR8372614|SRR8372501|SRR8372502|SRR8372507|SRR8372499|SRR8372439|SRR8372299|SRR8372297|SRR8372480|SRR8372483|SRR8372481|SRR8372340|SRR8372337|SRR8372286|SRR11048648|SRR11048641|SRR11048637|SRR11048635|SRR11048644|SRR11048651|SRR11048627|SRR11048630|SRR11048628|SRR11048619|SRR11048639|SRR11048621|SRR11048643|SRR11048638|SRR11048640|SRR11048679|SRR11048623|SRR11048661|SRR11048632|SRR11048705|SRR11048678|SRR11048666|SRR11048655|SRR11048706|SRR11048694|SRR11048668|SRR11048696|SRR11048698|SRR11048686|SRR11048642|SRR11048684|SRR11048629|SRR11048680|SRR11048617|SRR11048677|SRR16303957|SRR16303914|SRR16303951|SRR16303947|SRR16303942|SRR16303932|SRR16303931|SRR27796375|SRR27796374|SRR27796371|SRR27796367|SRR27796365|SRR27796364|SRR27796363|SRR27796358|SRR27796136|SRR27796132|SRR27796131|SRR27796124|SRR27796121|SRR27796115|SRR27796112|SRR27796105|SRR27796318|SRR27796313|SRR27796311|SRR27796309|SRR27796306|SRR27796304|SRR27796300|SRR27796298|SRR27796083|SRR27796081|SRR27796078|SRR27796075|SRR27796072|SRR27796070|SRR27796068|SRR27796067|SRR27796524|SRR27796523|SRR27796484|SRR27796483|SRR27796477|SRR27796476|SRR27796475|SRR27796470|SRR27796458|SRR27796456|SRR27796455|SRR27796244|SRR27796237|SRR27796236|SRR27796235|SRR27796234|SRR27796233|SRR27796225|SRR27796598|SRR27796597|SRR27796452|SRR27796450|SRR27796446|SRR27796444|SRR27796443|SRR27796442|SRR27796441|SRR27796421|SRR27796209|SRR27796333|SRR27796330|SRR27796328|SRR27796590	gapfill_0006479|gapfill_0006516|gapfill_0006418|gapfill_0006242|gapfill_0006463|gapfill_0006524|gapfill_0006489|gapfill_0006514|gapfill_0006444|gapfill_0006229|gapfill_0006500|gapfill_0006484|gapfill_0006427|gapfill_0006450|gapfill_0006118|gapfill_0006162|gapfill_0000828|gapfill_0001031|gapfill_0001100|gapfill_0001158|gapfill_0001180|gapfill_0001203|gapfill_0001246|gapfill_0001272|gapfill_0001310|gapfill_0001322|gapfill_0001342|gapfill_0001360|gapfill_0001381|gapfill_0001417|gapfill_0001426|gapfill_0001465|gapfill_0001488|gapfill_0001576|gapfill_0001598|gapfill_0001607|gapfill_0001611|gapfill_0001613|gapfill_0001635|gapfill_0001638|gapfill_0001675|gapfill_0001680|gapfill_0001685|gapfill_0001693|gapfill_0001736|gapfill_0000801|gapfill_0001300|gapfill_0001323|gapfill_0001329|gapfill_0001410|gapfill_0001519|gapfill_0006106|gapfill_0006183|gapfill_0006210|gapfill_0006126|gapfill_0005908|gapfill_0005633|gapfill_0005243|gapfill_0005751|gapfill_0005449|gapfill_0005334|gapfill_0005212|gapfill_0005379|gapfill_0005903|gapfill_0005670|gapfill_0005915|gapfill_0005768|gapfill_0005720|gapfill_0005886|gapfill_0006103|gapfill_0005257|gapfill_0005526|gapfill_0005791|gapfill_0005625|gapfill_0005508|gapfill_0005842|gapfill_0005881|gapfill_0005703|gapfill_0005921|gapfill_0005956|gapfill_0005338|gapfill_0005221|gapfill_0005230|gapfill_0005405|gapfill_0005218|gapfill_0005320|gapfill_0005517|gapfill_0005304|gapfill_0005261|gapfill_0005231|gapfill_0005190|gapfill_0005796|gapfill_0005328|gapfill_0005286|gapfill_0005317|gapfill_0005678|gapfill_0005132|gapfill_0005942|gapfill_0006167|gapfill_0006168|gapfill_0005371|gapfill_0005612|gapfill_0005754|gapfill_0005411|gapfill_0005610|gapfill_0005900|gapfill_0005412|gapfill_0005160|gapfill_0005159|gapfill_0005192|gapfill_0005403|gapfill_0005291|gapfill_0005430|gapfill_0005446|gapfill_0005277|gapfill_0005244|gapfill_0005488|gapfill_0005226|gapfill_0005422|gapfill_0005266|gapfill_0005529|gapfill_0005963	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	6
CHN	China	2016	9	10	0	0.0	53	52	71	0	53	0	62	0	63	0.0	False	True	133	True	0	SRR5814329|SRR5814344|SRR5814341|SRR8372308|SRR8372302|SRR8372316|SRR8372324|SRR8372325|SRR8372462|SRR8372461|SRR8372567|SRR8372565|SRR8372564|SRR8372571|SRR8372457|SRR8372458|SRR8372460|SRR8372453|SRR8372455|SRR8372465|SRR8372394|SRR8372389|SRR8372281|SRR8372282|SRR8372280|SRR8372277|SRR8372433|SRR8372435|SRR8372630|SRR8372627|SRR8372638|SRR8372294|SRR8372332|SRR8372335|SRR8372334|SRR8372341|SRR8372295|SRR8372428|SRR8372429|SRR8372430|SRR8372431|SRR8372425|SRR8372536|SRR8372534|SRR8372540|SRR8372538|SRR8372537|SRR8372383|SRR8372381|SRR8372388|SRR27796322|SRR27796560|SRR27796493	gapfill_0003126|gapfill_0004462|gapfill_0003984|gapfill_0004590|gapfill_0004654|gapfill_0004487|gapfill_0004521|gapfill_0004471|gapfill_0004631|gapfill_0004696|gapfill_0004305|gapfill_0004603|gapfill_0004649|gapfill_0004591|gapfill_0004488|gapfill_0004207|gapfill_0004406|gapfill_0004245|gapfill_0004057|gapfill_0004511|gapfill_0004522|gapfill_0004149|gapfill_0004607|gapfill_0004034|gapfill_0004467|gapfill_0004475|gapfill_0004773|gapfill_0004645|gapfill_0004665|gapfill_0004802|gapfill_0004430|gapfill_0004923|gapfill_0004604|gapfill_0004869|gapfill_0004643|gapfill_0004718|gapfill_0004547|gapfill_0004658|gapfill_0004749|gapfill_0004572|gapfill_0004750|gapfill_0004419|gapfill_0004600|gapfill_0004577|gapfill_0004894|gapfill_0004610|gapfill_0004500|gapfill_0004362|gapfill_0005370|gapfill_0005324	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	7
CHN	China	2015	8	9	0	0.0	45	44	100	0	45	0	53	0	54	0.0	False	True	153	True	0	SRR5814340|SRR5814331|SRR5814322|SRR8661688|SRR8661701|SRR8372314|SRR8372626|SRR8372346|SRR8372621|SRR8372351|SRR8372327|SRR8372446|SRR8372450|SRR8372559|SRR8372558|SRR8372268|SRR8372269|SRR8372266|SRR8372267|SRR8372364|SRR8372363|SRR8372370|SRR8372369|SRR8372397|SRR8372399|SRR8372400|SRR8372405|SRR8372512|SRR8372511|SRR8372509|SRR8372518|SRR8372612|SRR8372609|SRR8372607|SRR8372412|SRR8372414|SRR8372413|SRR8372415|SRR8372477|SRR8372588|SRR8372585|SRR8372584|SRR8372583|SRR8372582|SRR8372579	gapfill_0003134|gapfill_0004761|gapfill_0000349|gapfill_0003917|gapfill_0003782|gapfill_0003995|gapfill_0003943|gapfill_0004081|gapfill_0003827|gapfill_0004136|gapfill_0004049|gapfill_0004507|gapfill_0004372|gapfill_0004052|gapfill_0004378|gapfill_0004453|gapfill_0004295|gapfill_0004553|gapfill_0004262|gapfill_0004257|gapfill_0004151|gapfill_0004561|gapfill_0004140|gapfill_0004554|gapfill_0004474|gapfill_0004278|gapfill_0004457|gapfill_0004371|gapfill_0004517|gapfill_0004112|gapfill_0004451|gapfill_0004248|gapfill_0006459|gapfill_0006509|gapfill_0006281|gapfill_0006362|gapfill_0004551|gapfill_0004583|gapfill_0004724|gapfill_0004524|gapfill_0004485|gapfill_0004757|gapfill_0004539	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	8
CHN	China	2017	1	3	0	0.0	59	59	102	0	59	0	60	0	62	0.0	False	True	162	True	0	SRR8372293|SRR8372285|SRR16306222|SRR27796240|SRR27796379|SRR27796129|SRR27796107|SRR27796290|SRR27796052|SRR27796548|SRR27796071|SRR27796018|SRR27795996|SRR27796468|SRR27796457|SRR27796228|SRR27795990|SRR27796617|SRR27796178|SRR27796409|SRR27796148|SRR27796573|SRR27796567|SRR27796565|SRR27796563|SRR27796377|SRR27796088|SRR27796079|SRR27796492|SRR27796489|SRR27796281|SRR27796274|SRR27796272|SRR27796271|SRR27796269|SRR27796268|SRR27796257|SRR27796255|SRR27796248|SRR27796030|SRR27796022|SRR27796020|SRR27796017|SRR27796012|SRR27796005|SRR27796004|SRR27796003|SRR27796002|SRR27796001|SRR27795998|SRR27795997|SRR27796486|SRR27796422|SRR29825617|SRR27796339|SRR27796338|SRR27796337|SRR27796594|SRR27796591	gapfill_0006308|gapfill_0005577|gapfill_0005472|gapfill_0005366|gapfill_0006286|gapfill_0005516|gapfill_0005392|gapfill_0005342|gapfill_0005497|gapfill_0006217|gapfill_0005249|gapfill_0005574|gapfill_0005294|gapfill_0005501|gapfill_0005928|gapfill_0005397|gapfill_0006213|gapfill_0005984|gapfill_0005997|gapfill_0005715|gapfill_0005935|gapfill_0005806|gapfill_0005714|gapfill_0005293|gapfill_0005533|gapfill_0005357|gapfill_0005271|gapfill_0005404|gapfill_0005312|gapfill_0005281|gapfill_0006270|gapfill_0005626|gapfill_0005307|gapfill_0005458|gapfill_0005457|gapfill_0005313|gapfill_0005207|gapfill_0005420|gapfill_0005463|gapfill_0005438|gapfill_0005431|gapfill_0005375|gapfill_0005416|gapfill_0005467|gapfill_0005396|gapfill_0005934|gapfill_0005989|gapfill_0006049|gapfill_0006259|gapfill_0005793|gapfill_0005235|gapfill_0005236|gapfill_0005346|gapfill_0005465|gapfill_0005263|gapfill_0005321	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	9
CHN	China	2020	1	2	0	0.0	1	1	2	0	1	0	2	0	3	0.0	False	False	4	False	8	SRR27796614		residual_gap_requires_planned_gapfill	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	10
