country_iso3	country_name	n_retained_genomes	n_prn_interpretable	interpretability_fraction	n_prn_disrupted	disrupted_fraction_within_interpretable	n_prn_intact	n_prn_uninterpretable_or_uncertain	n_disrupted_is481	n_disrupted_rearrangement	n_disrupted_other	is481_fraction_within_disrupted	rearrangement_fraction_within_disrupted	other_fraction_within_disrupted	dominant_disrupted_mechanism	mechanism_composition_basis	source_file	notes
ARG	Argentina	12	0	0.000000	0		0	12	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
AUS	Australia	63	45	0.714286	21	0.466667	24	18	2	1	0	0.095238	0.047619	0.000000	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	
BRA	Brazil	13	8	0.615385	8	1.000000	0	5	5	3	0	0.625000	0.375000	0.000000	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	
CAN	Canada	17	0	0.000000	0		0	17	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
CHN	China	856	155	0.181075	13	0.083871	142	701	7	1	5	0.538462	0.076923	0.384615	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	interpretability_below_half_of_country_records
CZE	Czech Republic	14	14	1.000000	0	0.000000	14	0	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	no_disrupted_genomes
DEU	Germany	2	2	1.000000	0	0.000000	2	0	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes
DNK	Denmark	11	2	0.181818	0	0.000000	2	9	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
ESP	Spain	9	1	0.111111	0	0.000000	1	8	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
FIN	Finland	20	4	0.200000	0	0.000000	4	16	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
FRA	France	22	11	0.500000	1	0.090909	10	11	1	0	0	1.000000	0.000000	0.000000	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_disrupted_n
GBR	United Kingdom	35	18	0.514286	0	0.000000	18	17	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	no_disrupted_genomes
