analysis_panel	country_iso3	country_name	period_label	period_start	period_end	n_years_observed	response_n_genomes_prn_interpretable	response_n_prn_disrupted	response_ipw_prevalence	response_naive_prevalence	response_boundary_lower_prevalence	response_boundary_upper_prevalence	reported_cases_period	genomes_per_case_effective	program_formulation_class_concurrent	program_formulation_class_lagged	lagged_class_available	transition_period_flag	transition_period_type	unique_program_classes_within_period	share_years_prn_positive_within_period	n_new_origins_detected_period	n_active_origin_clades_period	years_since_first_local_origin	years_since_first_prn_detection	formulation_confidence_period	period_contains_conflict	dominant_exposure_precedence_rule	country_row_share	primary_panel_eligible	exclusion_reason	notes
programme_country_period_5y	BRA	Brazil	2020-2024	2020	2024	5	8	8	1.0	1.0	1.0	1.0	8266.0	0.0009678199854827	routine_ap_mixed	routine_ap_mixed	True	False		routine_ap_mixed	0.0	0	0		0.0	medium	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	CHN	China	2020-2024	2020	2024	5	64	13	0.1826653447285964	0.203125	0.0205696202531645	0.9193037974683544	570195.0	0.0011083927428335	routine_ap_mixed	routine_ap_mixed	True	False		routine_ap_mixed	0.0	0	0		2.0	medium	False	curated_formulation_applied	0.0555555555555555	True		
programme_country_period_5y	CZE	Czechia	2010-2014	2010	2014	5	6	0	0.0	0.0	0.0	0.0	5478.0	0.0010952902519167	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0			medium	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	FRA	France	2020-2024	2020	2024	5	6	0	0.0	0.0	0.0	0.0	564.0	0.0106382978723404	routine_ap_mixed	routine_ap_mixed	True	False		routine_ap_mixed	0.0	0	0	15.0	15.0	medium	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	GBR	United Kingdom	2010-2014	2010	2014	5	8	0	0.0	0.0	0.0	0.0	23877.0	0.0003350504669765	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0			high	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	GTM	Guatemala	2010-2014	2010	2014	5	5	0	0.0	0.0	0.0	0.0	332.0	0.0150602409638554	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			high	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	IND	India	2015-2019	2015	2019	5	7	0	0.0	0.0	0.0	0.2222222222222222	111329.0	8.084146987757009e-05	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			high	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	JPN	Japan	2020-2024	2020	2024	5	7	1	0.034732275446806	0.1428571428571428	0.1	0.4	7794.0	0.0012830382345393	routine_ap_prn_negative	routine_ap_prn_negative	True	False		routine_ap_prn_negative	0.0	0	0		0.0	high	False	curated_formulation_applied	0.0555555555555555	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	NZL	New Zealand	2000-2004	2000	2004	5	7	0	0.0	0.0	0.0	0.0	13432.0	0.0005211435378201	routine_ap_prn_positive		False	False		routine_ap_prn_positive	1.0	0	0			high	True	curated_formulation_applied	0.2222222222222222	True		contains_curated_vs_program_phase_conflict_resolved_by_curated_precedence
programme_country_period_5y	NZL	New Zealand	2005-2009	2005	2009	5	13	0	0.0	0.0	0.0	0.0	4829.0	0.0026920687512942	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0			high	False	curated_formulation_applied	0.2222222222222222	True		
programme_country_period_5y	NZL	New Zealand	2010-2014	2010	2014	5	18	14	0.7923007010798628	0.7777777777777778	0.7777777777777778	0.7777777777777778	12547.0	0.0014346058818841	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0		2.0	high	False	curated_formulation_applied	0.2222222222222222	True		
programme_country_period_5y	NZL	New Zealand	2015-2019	2015	2019	5	13	9	0.7042771607967332	0.6923076923076923	0.6923076923076923	0.6923076923076923	8565.0	0.0015178050204319	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0		7.0	high	False	curated_formulation_applied	0.2222222222222222	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	USA	United States	2000-2004	2000	2004	5	52	0	0.0	0.0	0.0	0.2121212121212121	62692.0	0.0010527659031455	routine_ap_prn_positive		False	False		routine_ap_prn_positive	1.0	0	0			high	True	curated_formulation_preferred_over_program_phase	0.2777777777777778	True		contains_curated_vs_program_phase_conflict_resolved_by_curated_precedence
programme_country_period_5y	USA	United States	2005-2009	2005	2009	5	35	1	0.0157160425028021	0.0285714285714285	0.027027027027027	0.081081081081081	64915.0	0.0005699761226218	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	1	1	0.0	0.0	high	True	curated_formulation_applied	0.2777777777777778	True		contains_curated_vs_program_phase_conflict_resolved_by_curated_precedence
programme_country_period_5y	USA	United States	2010-2014	2010	2014	5	352	193	0.5016370378625263	0.5482954545454546	0.543661971830986	0.5521126760563381	156156.0	0.002273367657983	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	5	4	5.0	5.0	high	False	curated_formulation_applied	0.2777777777777778	True		
programme_country_period_5y	USA	United States	2015-2019	2015	2019	5	420	307	0.7339948843027508	0.7309523809523809	0.7009132420091324	0.7420091324200914	73235.0	0.0059807469106301	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0	10.0	10.0	high	False	curated_formulation_applied	0.2777777777777778	True		
programme_country_period_5y	USA	United States	2020-2024	2020	2024	5	18	16	0.8969053223870643	0.8888888888888888	0.7272727272727273	0.9090909090909092	29902.0	0.0007357367400173	routine_ap_prn_positive	routine_ap_prn_positive	True	False		routine_ap_prn_positive	1.0	0	0	15.0	15.0	high	False	curated_formulation_applied	0.2777777777777778	True		reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ZAF	South Africa	2015-2019	2015	2019	5	31	0	0.0	0.0	0.0	0.03125	1757.0	0.0182128628343767	routine_ap_prn_negative	routine_ap_prn_negative	True	False		routine_ap_prn_negative	0.0	0	0			medium	False	curated_formulation_applied	0.0555555555555555	True		
programme_country_period_5y	ABW	Aruba	2015-2019	2015	2019	3	0	0					2.0	0.0	unknown		False	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ABW	Aruba	2020-2024	2020	2024	4	0	0					7.0	0.0	unknown	unknown	True	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AFG	Afghanistan	2000-2004	2000	2004	5	0	0					2893.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AFG	Afghanistan	2005-2009	2005	2009	5	0	0					13040.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AFG	Afghanistan	2010-2014	2010	2014	5	0	0					1868.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AFG	Afghanistan	2015-2019	2015	2019	5	0	0					921.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AFG	Afghanistan	2020-2024	2020	2024	5	0	0					2891.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AGO	Angola	2000-2004	2000	2004	5	0	0					5629.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AGO	Angola	2005-2009	2005	2009	5	0	0					4524.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AGO	Angola	2010-2014	2010	2014	5	0	0					5352.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AGO	Angola	2015-2019	2015	2019	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AGO	Angola	2020-2024	2020	2024	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AIA	Anguilla	2000-2004	2000	2004	4	0	0					0.0		unknown		False	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AIA	Anguilla	2015-2019	2015	2019	3	0	0					0.0		unknown	unknown	True	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AIA	Anguilla	2020-2024	2020	2024	5	0	0					0.0		unknown	unknown	True	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	ALB	Albania	2000-2004	2000	2004	5	0	0					228.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ALB	Albania	2005-2009	2005	2009	5	0	0					48.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ALB	Albania	2010-2014	2010	2014	5	0	0					26.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ALB	Albania	2015-2019	2015	2019	5	0	0					80.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ALB	Albania	2020-2024	2020	2024	5	0	0					5.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AND	Andorra	2000-2004	2000	2004	5	0	0					0.0		wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AND	Andorra	2005-2009	2005	2009	5	0	0					0.0		routine_ap_unknown	wp_only_or_pre_ap	True	True	ap_vs_wp_transition	routine_ap_unknown,wp_only_or_pre_ap	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	transition_period_flag=ap_vs_wp_transition
programme_country_period_5y	AND	Andorra	2010-2014	2010	2014	5	0	0					14.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AND	Andorra	2015-2019	2015	2019	5	0	0					31.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AND	Andorra	2020-2024	2020	2024	5	0	0					41.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARE	United Arab Emirates	2000-2004	2000	2004	5	0	0					104.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARE	United Arab Emirates	2005-2009	2005	2009	5	0	0					85.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARE	United Arab Emirates	2010-2014	2010	2014	5	0	0					158.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARE	United Arab Emirates	2015-2019	2015	2019	5	0	0					41.0	0.0	routine_ap_unknown	wp_only_or_pre_ap	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARE	United Arab Emirates	2020-2024	2020	2024	5	0	0					192.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARG	Argentina	2000-2004	2000	2004	5	0	0			0.0	1.0	2832.0	0.0021186440677966	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARG	Argentina	2005-2009	2005	2009	5	0	0			0.0	1.0	11082.0	0.0003609456776755	wp_only_or_pre_ap	wp_only_or_pre_ap	True	True	ap_vs_wp_transition	routine_ap_unknown,wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	transition_period_flag=ap_vs_wp_transition;reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARG	Argentina	2010-2014	2010	2014	5	0	0					6901.0	0.0	routine_ap_unknown	wp_only_or_pre_ap	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARG	Argentina	2015-2019	2015	2019	5	0	0					5400.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARG	Argentina	2020-2024	2020	2024	5	0	0					1137.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARM	Armenia	2000-2004	2000	2004	5	0	0					24.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARM	Armenia	2005-2009	2005	2009	5	0	0					23.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARM	Armenia	2010-2014	2010	2014	5	0	0					128.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARM	Armenia	2015-2019	2015	2019	5	0	0					318.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	True	ap_vs_wp_transition	routine_ap_unknown,wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	transition_period_flag=ap_vs_wp_transition;reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ARM	Armenia	2020-2024	2020	2024	5	0	0					190.0	0.0	routine_ap_unknown	wp_only_or_pre_ap	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ASM	American Samoa	2000-2004	2000	2004	3	0	0					2.0	0.0	unknown		False	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ASM	American Samoa	2005-2009	2005	2009	3	0	0					1.0	0.0	unknown	unknown	True	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	ASM	American Samoa	2010-2014	2010	2014	1	0	0					0.0		unknown	unknown	True	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	
