analysis_cohort	source_table	amu_metric	country_iso3	year	n_genomes_prn_interpretable	n_prn_disrupted	reported_cases	dtp3_coverage	amu_value	country_filter	year_window	run_status	notes
C	bp_country_year_analysis_input.tsv	macrolide_use	CZE	2012	4	0	738.000000	99.120000	3.238711	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	macrolide_use	FRA	2024	6	0	464.000000	96.000000	2.208685	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	macrolide_use	GBR	2012	8	0	11980.000000	95.000000	3.070455	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	macrolide_use	ZAF	2018	3	0	955.000000	82.140000	1.570039	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	macrolide_use	ZAF	2019	3	0	557.000000	85.000000	2.396113	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	total_antibiotic_use	CZE	2012	4	0	738.000000	99.120000	15.658194	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	total_antibiotic_use	FRA	2024	6	0	464.000000	96.000000	26.513344	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	total_antibiotic_use	GBR	2012	8	0	11980.000000	95.000000	18.230664	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	total_antibiotic_use	ZAF	2018	3	0	955.000000	82.140000	20.303118	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
C	bp_country_year_analysis_input.tsv	total_antibiotic_use	ZAF	2019	3	0	557.000000	85.000000	44.143661	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2012-2024	not_fit_due_n_obs_lt_8	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
