country_iso3	country_name	analysis_role	year	age_group_projected	cases	harmonization_status	source_bins_used	source_bins_available	year_complete_exact	source_sheet	source_file	notes
CHN	China	high_risk_control	2015	0-1	4322.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2015	1-4	1797.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2015	15+	81.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2015	5-14	458.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2016	0-1	3508.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2016	1-4	1556.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2016	15+	110.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2016	5-14	410.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2017	0-1	6973.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2017	1-4	2473.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2017	15+	212.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2017	5-14	732.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2018	0-1	12372.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2018	1-4	7307.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2018	15+	230.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
