record_type	analysis_set	response_type	term	estimate	ci_lower	ci_upper	p_value	n_origins	notes	origin_id	n_disrupted_descendants	follow_up_years	origin_country_iso3	origin_year	mechanism_group	origin_genotype_background	vaccine_environment	macrolide_background	p_value_scope	inference_scope
analysis_set_summary	high_confidence_fitch							0	empty_analysis_set											
event_summary	all_fitch							24		origin_0001	1.0	1.0	FRA	2009.0	IS481	ptxP3/PRN-	routine_ap_prn_negative_or_mixed	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0002	3.0	7.0	USA	2012.0	inversion/rearrangement	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0003	1.0	1.0			IS481	ptxP3/PRN-	unknown	unknown		
event_summary	all_fitch							24		origin_0004	1.0	1.0			IS481	ptxP3/PRN-	unknown	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0005	2.0	1.0	USA	2016.0	inversion/rearrangement	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0006	1.0	1.0	USA	2013.0	IS481	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0007	45.0	10.0	USA	2011.0	inversion/rearrangement	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0008	4.0	2.0			IS481	ptxP3/PRN-	unknown	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0009	1.0	1.0	USA	2016.0	inversion/rearrangement	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0010	55.0	6.0	USA	2015.0	inversion/rearrangement	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0011	1.0	1.0	SWE	2009.0	inversion/rearrangement	ptxP3/PRN-	unknown	not_MR_A2047G_dominant		
event_summary	all_fitch							24		origin_0012	1.0	1.0	USA	2009.0	inversion/rearrangement	ptxP3/PRN-	routine_ap_prn_positive	not_MR_A2047G_dominant		
