country_iso3	country_name	analysis_role	country_tier	year	reported_cases	dtp3_coverage	booster_coverage	vaccine_program_type	acellular_vs_whole_cell	reporting_era_record_iso3	reporting_era_scope_type	reporting_era_match_type	reporting_era_confidence	pcr_lab_guideline_year	reporting_case_definition_change_year	surveillance_platform_change_year	post_pcr_lab_guideline_era	post_reporting_case_definition_change_era	post_surveillance_platform_change_era	primary_series_formulation	booster_formulation	prn_in_vaccine_curated	formulation_confidence	formulation_source_name	formulation_source_url	notes
CHN	China	high_risk_control	control	2000	5561.0	85.0				CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	0.0	0.0	wp_only	wp_only	no	high	China CDC pertussis vaccine immunoprophylaxis page	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2001	6407.0	78.66		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	0.0	0.0	wp_only	wp_only	no	high	China CDC pertussis vaccine immunoprophylaxis page	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2002	6293.0	86.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	0.0	0.0	wp_only	wp_only	no	high	China CDC pertussis vaccine immunoprophylaxis page	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2003	858.0	86.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	0.0	0.0	wp_only	wp_only	no	high	China CDC pertussis vaccine immunoprophylaxis page	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2004	4705.0	87.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	1.0	0.0	wp_only	wp_only	no	high	China CDC pertussis vaccine immunoprophylaxis page	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2005	3844.0	87.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	1.0	0.0	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2006	2595.0	93.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	1.0	0.0	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2007		93.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	1.0	0.0	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2008	2387.0	97.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	1.0	0.0	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
CHN	China	high_risk_control	control	2009	1612.0	99.0		pre_ap_introduction_or_whole_cell	whole_cell_or_unknown	CHN	country	country_direct	high	2023.0	2004.0	2024.0	0.0	1.0	0.0	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	post_covid_period_defined_as_year_ge_2024_for_country_year_resolution;amu_missing_country_level_data;booster_coverage_not_present_in_current_wuenic_export
