country_iso3	period	metric_name	n_total_genomes	n_metric_denominator	n_positive	fraction_positive	notes
ARG	<=2019	PRN-deficient	11.0	4.0	3.0	0.75	
ARG	<=2019	prn2_or_prn150	11.0	1.0	0.0	0.0	
ARG	<=2019	ptxP3	11.0	4.0	4.0	1.0	
ARG	<=2019	23S_A2047G_MR	11.0	4.0	0.0	0.0	
AUS	<=2019	PRN-deficient	59.0	53.0	29.0	0.5471698113207547	
AUS	<=2019	prn2_or_prn150	59.0	17.0	7.0	0.4117647058823529	
AUS	<=2019	ptxP3	59.0	46.0	24.0	0.5217391304347826	
AUS	<=2019	23S_A2047G_MR	59.0	45.0	0.0	0.0	
CAN	<=2019	PRN-deficient	17.0	6.0	2.0	0.3333333333333333	
CAN	<=2019	prn2_or_prn150	17.0	4.0	0.0	0.0	
CAN	<=2019	ptxP3	17.0	6.0	4.0	0.6666666666666666	
CAN	<=2019	23S_A2047G_MR	17.0	6.0	0.0	0.0	
CHN	2020-2023	PRN-deficient	185.0	93.0	15.0	0.16129032258064516	
CHN	2020-2023	prn2_or_prn150	185.0	70.0	39.0	0.5571428571428572	
CHN	2020-2023	ptxP3	185.0	85.0	53.0	0.6235294117647059	
CHN	2020-2023	23S_A2047G_MR	185.0	85.0	16.0	0.18823529411764706	
CHN	<=2019	PRN-deficient	165.0	109.0	11.0	0.10091743119266056	
CHN	<=2019	prn2_or_prn150	165.0	90.0	14.0	0.15555555555555556	
CHN	<=2019	ptxP3	165.0	101.0	16.0	0.15841584158415842	
CHN	<=2019	23S_A2047G_MR	165.0	101.0	80.0	0.7920792079207921	
CHN	>=2024	PRN-deficient	506.0	44.0	8.0	0.18181818181818182	
CHN	>=2024	prn2_or_prn150	506.0	36.0	35.0	0.9722222222222222	
CHN	>=2024	ptxP3	506.0	44.0	44.0	1.0	
CHN	>=2024	23S_A2047G_MR	506.0	44.0	44.0	1.0	
CZE	<=2019	PRN-deficient	14.0	14.0	0.0	0.0	
CZE	<=2019	prn2_or_prn150	14.0	14.0	8.0	0.5714285714285714	
CZE	<=2019	ptxP3	14.0	14.0	9.0	0.6428571428571429	
CZE	<=2019	23S_A2047G_MR	14.0	14.0	0.0	0.0	
FIN	<=2019	PRN-deficient	20.0	9.0	4.0	0.4444444444444444	
FIN	<=2019	prn2_or_prn150	20.0	4.0	3.0	0.75	
FIN	<=2019	ptxP3	20.0	8.0	4.0	0.5	
FIN	<=2019	23S_A2047G_MR	20.0	8.0	0.0	0.0	
FRA	<=2019	PRN-deficient	16.0	13.0	6.0	0.46153846153846156	
FRA	<=2019	prn2_or_prn150	16.0	4.0	1.0	0.25	
FRA	<=2019	ptxP3	16.0	12.0	9.0	0.75	
FRA	<=2019	23S_A2047G_MR	16.0	12.0	0.0	0.0	
GBR	<=2019	PRN-deficient	34.0	19.0	2.0	0.10526315789473684	
GBR	<=2019	prn2_or_prn150	34.0	15.0	8.0	0.5333333333333333	
GBR	<=2019	ptxP3	34.0	17.0	8.0	0.47058823529411764	
GBR	<=2019	23S_A2047G_MR	34.0	17.0	0.0	0.0	
IND	<=2019	PRN-deficient	10.0	8.0	0.0	0.0	
IND	<=2019	prn2_or_prn150	10.0	8.0	2.0	0.25	
IND	<=2019	ptxP3	10.0	8.0	2.0	0.25	
IND	<=2019	23S_A2047G_MR	10.0	8.0	0.0	0.0	
ITA	<=2019	PRN-deficient	15.0	5.0	4.0	0.8	
ITA	<=2019	prn2_or_prn150	15.0	1.0	0.0	0.0	
ITA	<=2019	ptxP3	15.0	5.0	1.0	0.2	
ITA	<=2019	23S_A2047G_MR	15.0	5.0	0.0	0.0	
JPN	<=2019	PRN-deficient	40.0	35.0	6.0	0.17142857142857143	
JPN	<=2019	prn2_or_prn150	40.0	26.0	10.0	0.38461538461538464	
JPN	<=2019	ptxP3	40.0	28.0	11.0	0.39285714285714285	
JPN	<=2019	23S_A2047G_MR	40.0	28.0	0.0	0.0	
JPN	>=2024	PRN-deficient	44.0	20.0	2.0	0.1	
JPN	>=2024	prn2_or_prn150	44.0	6.0	5.0	0.8333333333333334	
JPN	>=2024	ptxP3	44.0	8.0	7.0	0.875	
JPN	>=2024	23S_A2047G_MR	44.0	8.0	0.0	0.0	
KEN	<=2019	PRN-deficient	12.0	8.0	6.0	0.75	
KEN	<=2019	prn2_or_prn150	12.0	2.0	0.0	0.0	
KEN	<=2019	ptxP3	12.0	8.0	0.0	0.0	
KEN	<=2019	23S_A2047G_MR	12.0	8.0	0.0	0.0	
NLD	<=2019	PRN-deficient	26.0	14.0	7.0	0.5	
NLD	<=2019	prn2_or_prn150	26.0	7.0	5.0	0.7142857142857143	
NLD	<=2019	ptxP3	26.0	14.0	7.0	0.5	
NLD	<=2019	23S_A2047G_MR	26.0	14.0	0.0	0.0	
NZL	<=2019	PRN-deficient	63.0	63.0	23.0	0.36507936507936506	
NZL	<=2019	prn2_or_prn150	63.0	30.0	21.0	0.7	
NZL	<=2019	ptxP3	63.0	63.0	51.0	0.8095238095238095	
NZL	<=2019	23S_A2047G_MR	63.0	63.0	0.0	0.0	
SWE	<=2019	PRN-deficient	20.0	9.0	5.0	0.5555555555555556	
SWE	<=2019	prn2_or_prn150	20.0	4.0	0.0	0.0	
SWE	<=2019	ptxP3	20.0	9.0	5.0	0.5555555555555556	
SWE	<=2019	23S_A2047G_MR	20.0	9.0	0.0	0.0	
TWN	<=2019	PRN-deficient	23.0	9.0	3.0	0.3333333333333333	
