clade_id	phylo_tree_id	n_samples	n_countries	first_year	last_year	major_country	major_lineage	major_mlst_st	dominant_prn_mechanism	disrupted_fraction	read_supported_fraction	sister_clade_id	clade_growth_summary	notes
node_000427	balanced_main_tree	21	8	1954	2024	USA		2	coding_disrupted_is481	0.380952	0.000000	node_000424	long_span;years=1954-2024;countries=8;mechanism=coding_disrupted_is481	origin_id_linked=origin_0032;descendant_tip_ids=21;validation_rows_in_clade=0;origin_support_score=0.380952
node_000445	balanced_main_tree	12	6	1999	2024	AUS		2	coding_disrupted_is481	0.416667	0.000000	node_000444	long_span;years=1999-2024;countries=6;mechanism=coding_disrupted_is481	origin_id_linked=origin_0034;descendant_tip_ids=12;validation_rows_in_clade=0;origin_support_score=0.416667
node_000194	balanced_main_tree	5	3	2009	2014	NZL		2	coding_disrupted_is481	0.800000	0.000000	node_000203	moderate_span;years=2009-2014;countries=3;mechanism=coding_disrupted_is481	origin_id_linked=origin_0013;descendant_tip_ids=5;validation_rows_in_clade=0;origin_support_score=0.800000
node_000142	balanced_main_tree	3	1	2006	2016	USA		83	coding_disrupted_inversion_or_rearrangement	0.666667	0.000000	node_000141	long_span;years=2006-2016;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0007;descendant_tip_ids=3;validation_rows_in_clade=0;origin_support_score=0.666667
node_000268	balanced_main_tree	3	1	2011	2011	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000267	single_year;years=2011-2011;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0018;descendant_tip_ids=3;validation_rows_in_clade=0;origin_support_score=1.000000
node_000280	balanced_main_tree	3	2	2012	2017	NZL		2	coding_disrupted_is481	1.000000	0.000000	node_000285	moderate_span;years=2012-2017;countries=2;mechanism=coding_disrupted_is481	origin_id_linked=origin_0020;descendant_tip_ids=3;validation_rows_in_clade=1;origin_support_score=1.000000
node_000006	balanced_main_tree	1	1	2012	2012	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000007	single_year;years=2012-2012;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0001;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000053	balanced_main_tree	1	1	2023	2023	CHN		2	coding_disrupted_is481	1.000000	0.000000	node_000054	single_year;years=2023-2023;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0002;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000066	balanced_main_tree	1	1	2017	2017	NZL		2	coding_disrupted_is481	1.000000	0.000000	node_000065	single_year;years=2017-2017;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0003;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000068	balanced_main_tree	1	1	2015	2015	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000069	single_year;years=2015-2015;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0004;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
