country_iso3	year	country_year_key	n_genomes_total	n_genomes_prn_interpretable	n_prn_intact	n_prn_disrupted	n_prn_uncertain_fragmented	n_prn_insufficient	n_prn_disrupted_assembly_high	n_prn_disrupted_assembly_moderate	n_prn_disrupted_assembly_low	frac_prn_disrupted	frac_prn_disrupted_ci_lower	frac_prn_disrupted_ci_upper	frac_prn_disrupted_n
ARG	1969	ARG|1969	1	0	0	0	1	0	0	0	0				0
ARG	2000	ARG|2000	3	1	1	0	1	1	0	0	0	0.000000	0.000000	0.793457	1
ARG	2001	ARG|2001	2	0	0	0	2	0	0	0	0				0
ARG	2003	ARG|2003	1	0	0	0	1	0	0	0	0				0
ARG	2005	ARG|2005	1	0	0	0	1	0	0	0	0				0
ARG	2006	ARG|2006	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
ARG	2007	ARG|2007	1	0	0	0	1	0	0	0	0				0
ARG	2008	ARG|2008	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1971	AUS|1971	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1974	AUS|1974	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1977	AUS|1977	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1978	AUS|1978	1	0	0	0	1	0	0	0	0				0
AUS	1982	AUS|1982	1	0	0	0	0	1	0	0	0				0
AUS	1989	AUS|1989	4	0	0	0	2	2	0	0	0				0
AUS	1990	AUS|1990	1	0	0	0	1	0	0	0	0				0
AUS	1995	AUS|1995	3	1	1	0	2	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1996	AUS|1996	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1997	AUS|1997	3	1	1	0	2	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	1998	AUS|1998	4	1	1	0	1	2	0	0	0	0.000000	0.000000	0.793457	1
AUS	2000	AUS|2000	4	1	1	0	2	1	0	0	0	0.000000	0.000000	0.793457	1
AUS	2002	AUS|2002	3	1	1	0	2	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2004	AUS|2004	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
AUS	2006	AUS|2006	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2007	AUS|2007	2	0	0	0	1	1	0	0	0				0
AUS	2008	AUS|2008	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
AUS	2009	AUS|2009	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2010	AUS|2010	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
AUS	2011	AUS|2011	3	3	2	1	0	0	0	0	0	0.333333	0.061490	0.792345	3
AUS	2012	AUS|2012	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2013	AUS|2013	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2014	AUS|2014	3	1	1	0	2	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2015	AUS|2015	3	1	1	0	2	0	0	0	0	0.000000	0.000000	0.793457	1
AUS	2016	AUS|2016	2	0	0	0	2	0	0	0	0				0
AUS	2017	AUS|2017	2	0	0	0	2	0	0	0	0				0
AUS	2024	AUS|2024	2	2	0	2	0	0	0	0	0	1.000000	0.342372	1.000000	2
BRA	2004	BRA|2004	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
BRA	2008	BRA|2008	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
BRA	2011	BRA|2011	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
BRA	2013	BRA|2013	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
BRA	2024	BRA|2024	8	8	0	8	0	0	0	0	0	1.000000	0.675584	1.000000	8
CAN	1994	CAN|1994	1	0	0	0	0	1	0	0	0				0
CAN	1995	CAN|1995	3	2	2	0	0	1	0	0	0	0.000000	0.000000	0.657628	2
CAN	2000	CAN|2000	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
CAN	2001	CAN|2001	7	3	3	0	2	2	0	0	0	0.000000	0.000000	0.561506	3
CAN	2002	CAN|2002	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
CAN	2004	CAN|2004	2	0	0	0	0	2	0	0	0				0
CAN	2005	CAN|2005	1	0	0	0	0	1	0	0	0				0
CHN	1951	CHN|1951	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
CHN	1957	CHN|1957	2	0	0	0	1	1	0	0	0				0
CHN	1970	CHN|1970	1	0	0	0	1	0	0	0	0				0
CHN	1980	CHN|1980	1	0	0	0	0	1	0	0	0				0
CHN	1983	CHN|1983	1	0	0	0	0	1	0	0	0				0
CHN	1997	CHN|1997	1	0	0	0	0	1	0	0	0				0
