country_iso3	country_name	year	monthly_cases_total	n_months_observed	n_genomes_total	n_genomes_prn_interpretable	n_prn_disrupted	naive_prevalence	ipw_prevalence	has_genomic_data_any	has_genomic_data_ge5	has_genomic_data_ge10	annual_prn_observation_status	first_prn_detection_year	first_local_origin_year	analysis_role	country_tier	source_file	notes
CHN	China	2015	6819	12	9	8	0	0.0	0.0	True	True	False	ge5_to_9_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2016	5683	12	10	9	0	0.0	0.0	True	True	False	ge5_to_9_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2017	10542	12	3	1	0	0.0	0.0	True	False	False	lt5_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2018	22466	12	34	7	0	0.0	0.0	True	True	False	ge5_to_9_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2019	30727	12	93	6	0	0.0	0.0	True	True	False	ge5_to_9_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2020	5005	12	2	1	0	0.0	0.0	True	False	False	lt5_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2021	9162	12	60	25	0	0.0	0.0	True	True	True	ge10_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2022	39781	12	64	36	10	0.2777777777777778	0.2391505773732234	True	True	True	ge10_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2023	38205	12	59	28	3	0.1071428571428571	0.1048044295737554	True	True	True	ge10_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2024	494321	12	506	25	0	0.0	0.0	True	True	True	ge10_interpretable	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
CHN	China	2025	35679	12	0	0	0			False	False	False	no_genomic_overlap	2022		high_risk_control	control	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2015	2674	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2016	2951	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2017	1654	12	0	0	0			False	False	False	no_genomic_overlap	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2018	7924	12	3	3	0	0.0	0.0	True	False	False	lt5_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2019	11833	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2020	2040	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2021	563	12	0	0	0			False	False	False	no_genomic_overlap	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2022	351	12	0	0	0			False	False	False	no_genomic_overlap	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2023	815	12	0	0	0			False	False	False	no_genomic_overlap	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2024	3192	12	11	8	1	0.125	0.0362735129537009	True	True	False	ge5_to_9_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
JPN	Japan	2025	75295	12	33	12	1	0.0833333333333333	0.0520051314475262	True	True	True	ge10_interpretable	2024		primary_focal	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2015	7707	12	63	63	46	0.7301587301587301	0.7841968313216692	True	True	True	ge10_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2016	6100	12	86	85	39	0.4588235294117647	0.4579395522457611	True	True	True	ge10_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2017	5830	12	99	99	90	0.9090909090909092	0.9087599860874802	True	True	True	ge10_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2018	3994	12	68	67	51	0.7611940298507462	0.6889188563320617	True	True	True	ge10_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2019	4845	12	122	108	83	0.7685185185185185	0.7832860841247634	True	True	True	ge10_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2020	1884	12	20	16	16	1.0	1.0	True	True	True	ge10_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2021	516	12	0	0	0			False	False	False	no_genomic_overlap	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2022	862	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2023	2512	12	0	0	0			False	False	False	no_genomic_overlap	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2024	11145	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
USA	United States	2025	8989	12	1	1	0	0.0	0.0	True	False	False	lt5_interpretable	2009	2009.0	primary_main	main	outputs/workflow/epi/ipw_prevalence.tsv	monthly_highres_window_joined_to_annual_genomic_summary
