origin_id	phylo_tree_id	ancestral_state	descendant_state	clade_id	sister_clade_id	n_tips_total	n_tips_disrupted	n_countries	first_year	last_year	major_lineage	major_lineage_source	major_mlst_st	major_background_label	major_ptxP_label	major_fim3_label	major_fhaB2400_5550_label	major_23s_status	dominant_prn_mechanism	branch_support	origin_support_score	inference_method	notes
origin_0001	workflow_ml_tree_composition_filtered	intact	disrupted	node_000065	node_000066	1	1	1	2009	2009									coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0001.descendant_tips.tsv;branch_support_not_available
origin_0002	workflow_ml_tree_composition_filtered	intact	disrupted	node_000134	node_000133	3	3	1	2012	2018									coding_disrupted_inversion_or_rearrangement	100	1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=3;descendant_disrupted_tip_count=3;tip_package=origin_0002.descendant_tips.tsv
origin_0003	workflow_ml_tree_composition_filtered	intact	disrupted	node_000153	node_000154	1	1	0											coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0003.descendant_tips.tsv;branch_support_not_available
origin_0004	workflow_ml_tree_composition_filtered	intact	disrupted	node_000158	node_000159	1	1	0											coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0004.descendant_tips.tsv;branch_support_not_available
origin_0005	workflow_ml_tree_composition_filtered	intact	disrupted	node_000162	node_000161	2	2	1	2016	2016									coding_disrupted_inversion_or_rearrangement	100	1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=2;descendant_disrupted_tip_count=2;tip_package=origin_0005.descendant_tips.tsv
origin_0006	workflow_ml_tree_composition_filtered	intact	disrupted	node_000195	node_000188	1	1	1	2013	2013									coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0006.descendant_tips.tsv;branch_support_not_available
origin_0007	workflow_ml_tree_composition_filtered	intact	disrupted	node_000208	node_000413	103	37	3	2011	2020									coding_disrupted_inversion_or_rearrangement	31	0.359223	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=103;descendant_disrupted_tip_count=37;tip_package=origin_0007.descendant_tips.tsv
origin_0008	workflow_ml_tree_composition_filtered	intact	disrupted	node_000217	node_000218	1	1	0											coding_disrupted_other		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0008.descendant_tips.tsv;branch_support_not_available
origin_0009	workflow_ml_tree_composition_filtered	intact	disrupted	node_000273	node_000274	1	1	1	2016	2016									coding_disrupted_inversion_or_rearrangement		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0009.descendant_tips.tsv;branch_support_not_available
origin_0010	workflow_ml_tree_composition_filtered	intact	disrupted	node_000494	node_000197	59	52	1	2015	2020									coding_disrupted_inversion_or_rearrangement	98	0.881356	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=59;descendant_disrupted_tip_count=52;tip_package=origin_0010.descendant_tips.tsv
