grid_id	hsp_min_pident	locus_qcov_threshold	is_support_profile	strong_is_qcov	strong_is_pident	moderate_is_qcov	moderate_is_pident	n_retained	n_interpretable	n_intact	n_structural_disrupted	n_is481	n_rearrangement	n_other_disruption	n_other_is	n_uncertain_fragmented	n_insufficient	n_strong_is_support	n_moderate_is_support	dominant_event_id	dominant_event_count	dominant_event_share	top3_event_count	top3_event_share	gap1043_count	cov58_count	cov91_count	status_compared_to_manuscript_n	status_changed_vs_manuscript_n	status_changed_vs_manuscript_fraction	mechanism_compared_to_manuscript_n	mechanism_changed_vs_manuscript_n	mechanism_changed_vs_manuscript_fraction	event_changed_vs_manuscript_n	delta_n_interpretable_vs_default_grid	delta_n_intact_vs_default_grid	delta_n_structural_disrupted_vs_default_grid	delta_n_is481_vs_default_grid	delta_n_rearrangement_vs_default_grid	delta_n_other_disruption_vs_default_grid	delta_n_uncertain_fragmented_vs_default_grid	delta_n_insufficient_vs_default_grid	delta_gap1043_count_vs_default_grid	delta_cov58_count_vs_default_grid	delta_cov91_count_vs_default_grid
grid_001	85.0	90.0	relaxed	70.0	85.0	50.0	80.0	2406	2118	1647	471	349	110	12	0	265	23	348	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	454	0.964	338	108	0	1343	96	0.071	2406	1147	0.477	1170	109	216	-107	-22	-62	-23	-72	-37	-21	0	-62
grid_002	85.0	90.0	default	80.0	90.0	60.0	85.0	2406	2118	1647	471	348	110	13	0	265	23	347	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1146	0.476	1169	109	216	-107	-23	-62	-22	-72	-37	-21	0	-62
grid_003	85.0	90.0	strict	90.0	95.0	70.0	90.0	2406	2118	1647	471	347	110	14	0	265	23	344	3	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1147	0.477	1170	109	216	-107	-24	-62	-21	-72	-37	-21	0	-62
grid_004	85.0	92.5	relaxed	70.0	85.0	50.0	80.0	2406	1994	1432	562	372	172	18	0	386	26	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1045	0.434	1070	-15	1	-16	1	0	-17	49	-34	0	0	0
grid_005	85.0	92.5	default	80.0	90.0	60.0	85.0	2406	1994	1432	562	371	172	19	0	386	26	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1044	0.434	1069	-15	1	-16	0	0	-16	49	-34	0	0	0
grid_006	85.0	92.5	strict	90.0	95.0	70.0	90.0	2406	1994	1432	562	370	172	20	0	386	26	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1045	0.434	1070	-15	1	-16	-1	0	-15	49	-34	0	0	0
grid_007	85.0	95.0	relaxed	70.0	85.0	50.0	80.0	2406	1995	1431	564	372	172	20	0	355	56	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	1017	0.423	1070	-14	0	-14	1	0	-15	18	-4	0	0	0
grid_008	85.0	95.0	default	80.0	90.0	60.0	85.0	2406	1995	1431	564	371	172	21	0	355	56	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	1016	0.422	1069	-14	0	-14	0	0	-14	18	-4	0	0	0
grid_009	85.0	95.0	strict	90.0	95.0	70.0	90.0	2406	1995	1431	564	370	172	22	0	355	56	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	1017	0.423	1070	-14	0	-14	-1	0	-13	18	-4	0	0	0
grid_010	85.0	97.5	relaxed	70.0	85.0	50.0	80.0	2406	1985	1418	567	372	171	24	0	271	150	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633	529	0.933	359	108	62	1330	4	0.003	2406	937	0.389	1082	-24	-13	-11	1	-1	-11	-66	90	0	0	0
grid_011	85.0	97.5	default	80.0	90.0	60.0	85.0	2406	1985	1418	567	371	171	25	0	271	150	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633	529	0.933	359	108	62	1330	4	0.003	2406	936	0.389	1081	-24	-13	-11	0	-1	-10	-66	90	0	0	0
grid_012	85.0	97.5	strict	90.0	95.0	70.0	90.0	2406	1985	1418	567	370	171	26	0	271	150	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633	529	0.933	359	108	62	1330	4	0.003	2406	937	0.389	1082	-24	-13	-11	-1	-1	-9	-66	90	0	0	0
grid_013	85.0	99.0	relaxed	70.0	85.0	50.0	80.0	2406	1980	1418	562	372	170	20	0	224	202	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	902	0.375	1085	-29	-13	-16	1	-2	-15	-113	142	0	0	0
grid_014	85.0	99.0	default	80.0	90.0	60.0	85.0	2406	1980	1418	562	371	170	21	0	224	202	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	901	0.374	1084	-29	-13	-16	0	-2	-14	-113	142	0	0	0
grid_015	85.0	99.0	strict	90.0	95.0	70.0	90.0	2406	1980	1418	562	370	170	22	0	224	202	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	902	0.375	1085	-29	-13	-16	-1	-2	-13	-113	142	0	0	0
grid_016	88.0	90.0	relaxed	70.0	85.0	50.0	80.0	2406	2118	1647	471	349	110	12	0	264	24	348	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	454	0.964	338	108	0	1343	96	0.071	2406	1146	0.476	1170	109	216	-107	-22	-62	-23	-73	-36	-21	0	-62
grid_017	88.0	90.0	default	80.0	90.0	60.0	85.0	2406	2118	1647	471	348	110	13	0	264	24	347	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1145	0.476	1169	109	216	-107	-23	-62	-22	-73	-36	-21	0	-62
grid_018	88.0	90.0	strict	90.0	95.0	70.0	90.0	2406	2118	1647	471	347	110	14	0	264	24	344	3	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1146	0.476	1170	109	216	-107	-24	-62	-21	-73	-36	-21	0	-62
grid_019	88.0	92.5	relaxed	70.0	85.0	50.0	80.0	2406	1994	1432	562	372	172	18	0	385	27	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1045	0.434	1070	-15	1	-16	1	0	-17	48	-33	0	0	0
grid_020	88.0	92.5	default	80.0	90.0	60.0	85.0	2406	1994	1432	562	371	172	19	0	385	27	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1044	0.434	1069	-15	1	-16	0	0	-16	48	-33	0	0	0
grid_021	88.0	92.5	strict	90.0	95.0	70.0	90.0	2406	1994	1432	562	370	172	20	0	385	27	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1045	0.434	1070	-15	1	-16	-1	0	-15	48	-33	0	0	0
grid_022	88.0	95.0	relaxed	70.0	85.0	50.0	80.0	2406	1995	1431	564	372	172	20	0	351	60	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	1013	0.421	1070	-14	0	-14	1	0	-15	14	0	0	0	0
grid_023	88.0	95.0	default	80.0	90.0	60.0	85.0	2406	1995	1431	564	371	172	21	0	351	60	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	1012	0.421	1069	-14	0	-14	0	0	-14	14	0	0	0	0
grid_024	88.0	95.0	strict	90.0	95.0	70.0	90.0	2406	1995	1431	564	370	172	22	0	351	60	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	1013	0.421	1070	-14	0	-14	-1	0	-13	14	0	0	0	0
grid_025	88.0	97.5	relaxed	70.0	85.0	50.0	80.0	2406	1985	1418	567	372	171	24	0	261	160	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633	529	0.933	359	108	62	1330	4	0.003	2406	927	0.385	1082	-24	-13	-11	1	-1	-11	-76	100	0	0	0
grid_026	88.0	97.5	default	80.0	90.0	60.0	85.0	2406	1985	1418	567	371	171	25	0	261	160	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633	529	0.933	359	108	62	1330	4	0.003	2406	926	0.385	1081	-24	-13	-11	0	-1	-10	-76	100	0	0	0
grid_027	88.0	97.5	strict	90.0	95.0	70.0	90.0	2406	1985	1418	567	370	171	26	0	261	160	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633	529	0.933	359	108	62	1330	4	0.003	2406	927	0.385	1082	-24	-13	-11	-1	-1	-9	-76	100	0	0	0
