scenario_id	scenario_class	simmap_model	stochastic_map_replicate	stochastic_origin_count
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	1	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	2	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	3	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	4	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	5	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	6	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	7	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	8	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	9	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	10	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	11	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	12	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	13	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	14	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	15	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	16	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	17	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	18	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	19	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	20	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	21	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	22	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	23	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	24	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	25	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	26	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	27	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	28	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	29	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	30	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	31	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	32	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	33	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	34	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	35	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	36	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	37	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	38	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	39	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	40	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	41	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	42	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	43	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	44	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	45	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	46	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	47	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	48	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	49	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	50	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	51	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	52	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	53	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	54	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	55	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	56	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	57	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	58	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	59	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	60	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	61	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	62	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	63	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	64	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	65	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	66	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	67	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	68	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	69	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	70	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	71	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	72	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	73	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	74	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	75	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	76	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	77	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	78	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	79	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	80	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	81	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	82	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	83	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	84	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	85	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	86	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	87	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	88	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	89	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	90	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	91	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	92	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	93	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	94	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	95	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	96	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	97	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	98	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	99	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	100	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	101	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	102	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	103	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	104	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	105	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	106	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	107	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	108	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	109	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	110	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	111	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	112	38
