country_iso3	country_name	year	vaccine_program_type_effective	primary_series_formulation	booster_formulation	prn_in_vaccine_curated	formulation_confidence	program_formulation_class	exposure_precedence_rule	prn_in_vaccine_source_class	formulation_source_name	formulation_source_url	formulation_notes
AUS	Australia	2001	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	official_guidance_plus_product_information	Australian Immunisation Handbook pertussis chapter	https://consultations.health.gov.au/ohp-immunisation-branch/the-australian-immunisation-handbook-10th-edition/user_uploads/4-12_pertussis_10th-ed-for-2015-update_post_atagi55_v4_for_public_consultation_final-wm_notedeletion--d14-2961395-.pdf	The Australian handbook states that routine acellular vaccines used in the national programme contain three or more purified pertussis components including PRN, so the post-1999 routine programme is curated as PRN-positive.
CHN	China	2005	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
CHN	China	2006	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
CHN	China	2007	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
CHN	China	2008	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
CHN	China	2009	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
CHN	China	2010	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
CHN	China	2011	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_guidance_plus_peer_reviewed_literature	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html;https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	China CDC states that DTaP was marketed in 2005, incorporated into the National Immunization Program in 2007, and fully replaced DTwP in 2012. The 2005-2011 interval is therefore curated as a mixed transition period with concurrent whole-cell and acellular exposure.
ESP	Spain	2001	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Spanish pertactin-deficiency study	https://wwwnc.cdc.gov/eid/article/28/5/21-1958_article	The Spain-specific PRN-deficiency study defines 1998-2005 as the transition period to ACV, with ACV boosters introduced in 1998 while WCV remained in the primary series until exclusive ACV use began in 2006.
ESP	Spain	2002	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Spanish pertactin-deficiency study	https://wwwnc.cdc.gov/eid/article/28/5/21-1958_article	The Spain-specific PRN-deficiency study defines 1998-2005 as the transition period to ACV, with ACV boosters introduced in 1998 while WCV remained in the primary series until exclusive ACV use began in 2006.
