scenario_id	scenario_source	scenario_class	analysis_frame	rooting_mode	tip_count	disrupted_tip_count	fitch_origin_events	pastml_origin_events	mk_origin_count_mean	mk_origin_count_lower_95	mk_origin_count_upper_95	largest_disrupted_clade_share	max_disrupted_tips_per_origin	rejects_one_global_clone_fitch	rejects_one_global_clone_mk95	notes
composition_filtered_reference_rooted_primary	rooting_sensitivity	primary	composition_pruned_quality_frame	reference	1919.0	559.0	24.0	2.0	24.54	24.0	25.0	0.5456171735241503	305.0	True	True	Primary ASR quality frame; prunes the 33 nonreference IQ-TREE composition-failed tips.
country_balanced_replicate_01	resampling	resampling_country_balanced	country_balanced	reference	162.0	19.0	8.0					0.47368421052631576	9.0	True		Resampled balanced tree replicate from country_balanced.
country_balanced_replicate_02	resampling	resampling_country_balanced	country_balanced	reference	162.0	20.0	8.0					0.45	9.0	True		Resampled balanced tree replicate from country_balanced.
country_balanced_replicate_03	resampling	resampling_country_balanced	country_balanced	reference	162.0	27.0	9.0					0.2962962962962963	8.0	True		Resampled balanced tree replicate from country_balanced.
country_balanced_replicate_04	resampling	resampling_country_balanced	country_balanced	reference	162.0	23.0	6.0					0.21739130434782608	5.0	True		Resampled balanced tree replicate from country_balanced.
study_block_balanced_replicate_01	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5597826086956522	309.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_02	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5561594202898551	307.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_03	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5561594202898551	307.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_04	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5561594202898551	307.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_05	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5597826086956522	309.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_06	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5561594202898551	307.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_07	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5597826086956522	309.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_08	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.552536231884058	305.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_09	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5561594202898551	307.0	True		Resampled balanced tree replicate from study_block_balanced.
study_block_balanced_replicate_10	resampling	resampling_study_block_balanced	study_block_balanced	reference	1842.0	552.0	22.0					0.5543478260869565	306.0	True		Resampled balanced tree replicate from study_block_balanced.
time_balanced_replicate_01	resampling	resampling_time_balanced	time_balanced	reference	88.0	7.0	4.0					0.7142857142857143	5.0	True		Resampled balanced tree replicate from time_balanced.
time_balanced_replicate_02	resampling	resampling_time_balanced	time_balanced	reference	88.0	7.0	4.0					0.5714285714285714	4.0	True		Resampled balanced tree replicate from time_balanced.
time_balanced_replicate_03	resampling	resampling_time_balanced	time_balanced	reference	88.0	7.0	3.0					0.7142857142857143	5.0	True		Resampled balanced tree replicate from time_balanced.
time_balanced_replicate_04	resampling	resampling_time_balanced	time_balanced	reference	88.0	5.0	1.0					0.2	1.0	False		Resampled balanced tree replicate from time_balanced.
composition_filtered_midpoint_rooted	rooting_sensitivity	rooting	composition_pruned_quality_frame	midpoint	1919.0	559.0	24.0	2.0	24.468	24.0	25.0	0.5456171735241503	305.0	True	True	Midpoint-rooted full rerun under the same M5 Fitch + PastML wrapper used for the primary ASR frame.
mad_rooting_feasibility	rooting_sensitivity	rooting	composition_pruned_quality_frame	MAD										False		MAD rooting recorded as feasibility check; status=mad_cli_not_available.
unpruned_midpoint_rooted	rooting_sensitivity	rooting	unpruned_comparability_frame	midpoint	1952.0	561.0	25.0	4.0	25.464	25.0	26.0	0.5436720142602496	305.0	True	True	Midpoint-rooted full rerun under the same M5 Fitch + PastML wrapper used for the unpruned comparability frame.
unpruned_reference_rooted_comparability	rooting_sensitivity	rooting	unpruned_comparability_frame	reference	1952.0	561.0	25.0	4.0	25.472	25.0	26.0	0.5436720142602496	305.0	True	True	Original Reference/Tohama I rooted unpruned tree retained as comparability sensitivity.
unpruned_support_ge_70	support_threshold_sensitivity	support_threshold	unpruned_comparability_frame	reference_support_threshold	1952.0	561.0	21.0	4.0				0.5436720142602496	305.0	True		Unpruned comparability tree with Fitch origins restricted to branches with support >=70.
unpruned_support_ge_90	support_threshold_sensitivity	support_threshold	unpruned_comparability_frame	reference_support_threshold	1952.0	561.0	21.0	4.0				0.5436720142602496	305.0	True		Unpruned comparability tree with Fitch origins restricted to branches with support >=90.
