country_iso3	country_name	analysis_role	year	age_group_projected	population	aggregation_method	source_name	source_file	notes
CHN	China	high_risk_control	2015	0-1	18150556.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2015	1-4	72602225.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2015	15+	1140388297.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2015	5-14	164993094.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2016	0-1	18174773.5	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2016	1-4	72699094.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2016	15+	1147044335.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2016	5-14	166134429.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2017	0-1	18143188.1	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2017	1-4	72572752.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2017	15+	1153143467.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2017	5-14	168495319.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2018	0-1	17767985.3	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2018	1-4	71071941.2	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2018	15+	1158926260.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2018	5-14	171242769.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2019	0-1	17073637.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2019	1-4	68294550.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2019	15+	1164475505.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2019	5-14	173676664.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2020	0-1	16107086.7	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2020	1-4	64428346.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2020	15+	1170051062.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2020	5-14	175519597.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2021	0-1	14771045.9	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2021	1-4	59084183.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2021	15+	1175643149.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2021	5-14	176938888.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2022	0-1	13121202.799999999	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2022	1-4	52484811.199999996	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2022	15+	1181163177.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2022	5-14	178410378.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2023	0-1	11608490.9	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
