panel_id	tree_id	node_id	parent_node_id	node_type	tip_label	sample_id_canonical	country_iso3	country_name	year	year_band	prn_mechanism_call	observed_prn_state	inferred_prn_state	transition_from_parent	marker_23s_A2047G	mlst_st	phylo_lineage	clade_id	origin_id	n_descendant_tips	n_countries	dominant_prn_mechanism	origin_support_score	source_file	notes
tip_metadata	balanced_main_tree			tip	SAMEA751482	SAMEA751482	ARG	Argentina	1969	pre2000	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751125	SAMEA751125	ARG	Argentina	2000	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751131	SAMEA751131	ARG	Argentina	2000	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751130	SAMEA751130	ARG	Argentina	2000	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751129	SAMEA751129	ARG	Argentina	2001	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751184	SAMEA751184	ARG	Argentina	2001	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751517	SAMEA751517	ARG	Argentina	2003	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA1986111	SAMEA1986111	ARG	Argentina	2005	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751518	SAMEA751518	ARG	Argentina	2006	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751519	SAMEA751519	ARG	Argentina	2007	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
tip_metadata	balanced_main_tree			tip	SAMEA751134	SAMEA751134	ARG	Argentina	2008	2000_2009	insufficient_data	insufficient_data												step5_phylogeny_asr/outputs/bp_phylogeny_manifest_balanced.tsv	tree tip metadata for the main balanced phylogeny
