source_name	source_url	freeze_date	freeze_scope	access_method	update_policy	owner_module	source_domain	source_release_note
NCBI Datasets	https://www.ncbi.nlm.nih.gov/datasets/	2026-03-21	project_source_ledger_snapshot	datasets metadata refresh or manifest export	record accession snapshot date at ingest and create a new dated snapshot for each metadata refresh	bp_step1	assemblies	required in the technical spec for genome acquisition and metadata backbone
GenBank	https://www.ncbi.nlm.nih.gov/genbank/	2026-03-21	project_source_ledger_snapshot	linked assembly metadata via NCBI accessions	record accession snapshot date at ingest and create a new dated snapshot for each metadata refresh	bp_step1	assemblies	required in the technical spec as part of the public assembly backbone
RefSeq	https://www.ncbi.nlm.nih.gov/refseq/	2026-03-21	project_source_ledger_snapshot	linked assembly metadata via NCBI accessions	record accession snapshot date at ingest and create a new dated snapshot for each metadata refresh	bp_step1	assemblies	required in the technical spec as part of the public assembly backbone
NCBI SRA	https://www.ncbi.nlm.nih.gov/sra	2026-03-21	project_source_ledger_snapshot	run metadata lookup and accession recovery	record accession snapshot date at ingest and create a new dated snapshot for each metadata refresh	bp_step1	raw_reads	required where available for read-backed validation of prn events
ENA	https://www.ebi.ac.uk/ena/browser/home	2026-03-21	project_source_ledger_snapshot	run metadata lookup and accession recovery	record accession snapshot date at ingest and create a new dated snapshot for each metadata refresh	bp_step1	raw_reads	required where available for read-backed validation of prn events
BIGSdb-Pasteur Bordetella	https://bigsdb.pasteur.fr/bordetella/	2026-03-21	project_source_ledger_snapshot	manual lookup or exported allele and lineage tables	record access date or export date at ingest and create a new dated snapshot when allele resources change	bp_step1	typing_framework	required allele naming and lineage harmonization resource
BIGSdb-Pasteur Bordetella typing export snapshot	https://bigsdb.pasteur.fr/bordetella/	2026-03-21	step2_typing_name_snapshot	manual allele and lineage export aligned to bp_marker_allele_harmonization.tsv and bp_typing_profile_registry.tsv	record export date and create a new dated snapshot whenever canonical allele or lineage naming changes	bp_step2	typing_framework	source-of-truth naming freeze for Step2 canonical allele labels and published lineage harmonization
Bridel supplementary profile snapshot	https://www.sciencedirect.com/science/article/pii/S0163445326000435	2026-03-21	step2_typing_profile_snapshot	local frozen supplement workbook refer/1-s2.0-S0163445326000435-mmc2.xlsx	record workbook access date and create a new dated snapshot whenever the published supplementary typing frame is revised or superseded	bp_step2	literature_typing_snapshot	first published-profile freeze used to seed bp_typing_profile_registry.tsv and the standardized typing layer
Public supplementary tables and accession lists	TBD_MULTIPLE_PUBLICATION_URLS	2026-03-21	project_source_ledger_snapshot	manual extraction from publication supplements and accession lists	record the exact publication URL or DOI in a sidecar and create a new dated snapshot for each added supplement	bp_step1	literature_supplements	recommended for recovering newly reported strains and metadata
WHO Immunization Data portal	https://immunizationdata.who.int/dashboard	2026-03-21	project_source_ledger_snapshot	dashboard export or manual download	freeze by export date and portal release note and create a new dated snapshot if the portal content changes	public_health	reported_cases	technical spec notes the portal currently exposes reported VPD case trends through 2024
WHO/UNICEF WUENIC	https://immunizationdata.who.int/dashboard	2026-03-21	project_source_ledger_snapshot	dashboard export or manual download	freeze by export date and WUENIC release year and create a new dated snapshot for each new WUENIC release	public_health	vaccine_coverage	technical spec notes the 2024 WUENIC release was published in 2025
CDC Pertussis Surveillance	https://www.cdc.gov/pertussis/php/surveillance/index.html	2026-03-21	project_source_ledger_snapshot	manual extraction from official surveillance page	freeze by access date and create a new dated snapshot when CDC updates annual or provisional counts	public_health	us_surveillance_detail	required in the technical spec for US detail
CDC provisional pertussis report	https://www.cdc.gov/pertussis/media/pdfs/2025/01/pertuss-surv-report-2024_PROVISIONAL-508.pdf	2026-03-21	project_source_ledger_snapshot	manual extraction from official PDF	freeze by publication date and access date and create a new dated snapshot when CDC issues a superseding provisional or final report	public_health	us_surveillance_detail	technical spec identifies this PDF as the official one-page summary for US 2024 counts
ECDC pertussis annual reports or data portals	https://www.ecdc.europa.eu/en/publications-data/pertussis-annual-epidemiological-report-2023	2026-03-21	project_source_ledger_snapshot	manual extraction from annual reports or portal tables	freeze by publication date and access date and create a new dated snapshot when ECDC publishes a new report or portal update	public_health	eu_surveillance_detail	technical spec notes the referenced annual report was published in 2025 using data for 2024 retrieved on 2025-03-12
WHO portal and national schedules	TBD_MULTIPLE_OFFICIAL_URLS	2026-03-21	project_source_ledger_snapshot	manual curation from WHO portal pages and official national immunization schedules	record exact cited URLs in a sidecar and create a new dated snapshot when program guidance changes	public_health	vaccine_program_characteristics	required for vaccine program type, acellular versus whole-cell usage, PRN inclusion, booster schedule, and program change year
WHO GLASS AMU dashboard	https://www.who.int/news/item/25-09-2025-updated-who-dashboard-offers-new-insights-on-antimicrobial-resistance-and-use	2026-03-21	project_source_ledger_snapshot	dashboard export or manual download	freeze by dashboard export date and create a new dated snapshot for each GLASS AMU update	public_health	antimicrobial_use	technical spec notes the September 25 2025 update reports validated AMU data through 2023
ECDC ESAC-Net	https://www.ecdc.europa.eu/en/about-us/partnerships-and-networks/disease-and-laboratory-networks/esac-net	2026-03-21	project_source_ledger_snapshot	portal export or manual download	freeze by export date and create a new dated snapshot when ESAC-Net releases updated consumption tables	public_health	antimicrobial_use	recommended higher-resolution antimicrobial consumption source for Europe
