country_iso3	country_name	candidate_status	epoch_id	epoch_label	epoch_type	start_year	end_year	primary_series_type	booster_type	prn_in_formulation	source_citation	confidence_level	n_years_in_epoch	n_retained_genomes	n_prn_interpretable	n_prn_disrupted	n_prn_intact	n_prn_uninterpretable_or_uncertain	n_disrupted_is481	n_disrupted_rearrangement	n_disrupted_other	reported_cases_epoch	ipw_weight_total_epoch	ipw_weighted_disrupted_epoch	naive_prevalence	ipw_prevalence	bound_lower_prevalence	bound_upper_prevalence	bound_width	informative_epoch	stable_bounds_epoch	comparable_epoch	stage1_primary_epoch	n_new_local_origins_in_epoch	n_active_local_origin_packages_by_epoch_end	first_local_origin_year	first_prn_detection_year	has_local_origin_by_epoch_end	has_prn_detection_by_epoch_end	country_mechanism_anchor	n_local_rooted_package_reruns	n_local_rooted_consistent_packages	n_package_level_hard_anchors	eligibility_status	eligibility_notes
AUS	Australia	original_candidate	aus_wp_only	Whole-cell era	wP_only	1945	1996	wP_only	wP_or_unspecified_boosters	no	Australian Immunisation Handbook pertussis chapter	high	52	16	13	8	5	3	0	0	0	0.0	50.95774681609249	38.59358339249994	0.6153846153846154	0.7573644009768513	0.5	0.6875	0.1875	True	True	True	True	0	0		1971.0	False	True	none	0	0	0	stage1_primary_epoch	passes_stage1_default_epoch_rule
AUS	Australia	original_candidate	aus_transition_mixed	Booster-only acellular transition period	transition_mixed	1997	1998	wP_primary_plus_aP_boosters	aP_boosters	mixed	Australian Immunisation Handbook pertussis chapter	high	2	7	5	3	2	2	0	0	0	0.0	22.195443009067922	15.251711097550164	0.6	0.6871550656285209	0.42857142857142855	0.7142857142857143	0.28571428571428575	False	True	False	False	0	0		1971.0	False	True	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch
AUS	Australia	original_candidate	aus_ap_with_prn	All-dose acellular era with PRN exposure	aP_with_PRN	1999	2025	aP_with_PRN	dTpa_or_DTPa_with_PRN	yes	Australian Immunisation Handbook pertussis chapter	high	27	38	25	8	17	13	2	1	0	301560.0	64.66114734398414	31.16961497093311	0.32	0.4820454979729497	0.21052631578947367	0.5526315789473685	0.3421052631578948	True	True	True	True	0	0		1971.0	False	True	recurrent_architecture	0	0	0	stage1_primary_epoch	passes_stage1_default_epoch_rule; has_country_level_structure_reuse
BRA	Brazil	promoted_from_screening	bra_mixed_prn	Mixed PRN-containing acellular / booster era	mixed_brand_heterogeneous	2014	2024	mixed_brand_heterogeneous	dtap_or_tdap_prn_positive	mixed	Brazil Ministry of Health dTpa page; 2024 national schedule instruction; Ministry pages for maternal dTpa use	medium	11	8	8	8	0	0	5	3	0	7438.0	40.70668996948128	40.70668996948128	1.0	1.0	1.0	1.0	0.0	True	True	True	True	0	0		2024.0	False	True	recurrent_architecture	0	0	0	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse; mixed_or_partial_prn_epoch
CHN	China	promoted_from_screening	chn_wp_only	Whole-cell routine vaccination era	wP_only	1978	2004	wP_only	wP_or_unspecified_boosters	no	China CDC pertussis vaccine immunoprophylaxis page	high	27	4	0	0	0	4	0	0	0	6407.0	0.0	0.0			0.0	1.0	1.0	False	False	False	False	0	0		2022.0	False	False	none	0	0	0	boundary_epoch	promoted_from_screening; insufficient_interpretable_genomes
CHN	China	promoted_from_screening	chn_transition_mixed	DTaP introduction and mixed transition period	transition_mixed	2005	2011	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	China CDC pertussis vaccine immunoprophylaxis page; Emerging Infectious Diseases review of China vaccine transition	medium	7	0	0	0	0	0	0	0	0	0.0	0.0	0.0						False	False	False	False	0	0		2022.0	False	False	none	0	0	0	boundary_epoch	promoted_from_screening; insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch
CHN	China	promoted_from_screening	chn_ap_mixed	Post-switch acellular era with mixed PRN exposure	mixed_brand_heterogeneous	2012	2025	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	China CDC pertussis vaccine immunoprophylaxis page; Shenzhen Kangtai DTaP-Hib-IPV product page; recent China vaccine genomics and review papers	medium	14	847	710	13	697	137	7	1	5	650031.0	185.2498650136826	14.41683289816994	0.018309859154929577	0.07782371607722957	0.015348288075560802	0.1770956316410862	0.1617473435655254	True	True	True	True	0	0		2022.0	False	True	recurrent_architecture	0	0	0	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse; mixed_or_partial_prn_epoch
CZE	Czechia	promoted_from_screening	cze_ap_prn_positive	PRN-positive acellular era	aP_with_PRN	2007	2017	ap_prn_positive	ap_prn_positive	yes	Czech 2018 hexavaccine recommendation; EMA Infanrix hexa	medium	11	9	9	0	9	0	0	0	0	4611.0	19.028806196461066	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	True	0	0			False	False	none	0	0	0	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule
ESP	Spain	original_candidate	esp_wp_only	Whole-cell routine vaccination era	wP_only	1986	1997	wP_only	wP_or_unspecified_boosters	no	Spanish pertactin-deficiency study	medium	12	0	0	0	0	0	0	0	0	0.0	0.0	0.0						False	False	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes
ESP	Spain	original_candidate	esp_transition_mixed	Mixed WCV/ACV transition period	transition_mixed	1998	2005	wP_primary_plus_ACV_boosters	ACV_boosters	mixed	Spanish pertactin-deficiency study	medium	8	0	0	0	0	0	0	0	0	0.0	0.0	0.0						False	False	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch
ESP	Spain	original_candidate	esp_ap_with_prn	Exclusive ACV era with PRN exposure	aP_with_PRN	2006	2012	aP_with_PRN	aP_with_PRN	yes	Spanish pertactin-deficiency study	medium	7	1	1	0	1	0	0	0	0	739.0	1.042308508605608	0.0	0.0	0.0	0.0	0.0	0.0	False	True	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes
ESP	Spain	original_candidate	esp_booster_modified_uncertain	Late ACV era with partial regional PRN-free use	booster_modified_or_uncertain	2013	2025	aP_with_PRN_or_partial_PRN_free	aP_with_PRN_or_partial_PRN_free	partial	Spanish pertactin-deficiency study	medium	13	8	0	0	0	8	0	0	0	33672.0	0.0	0.0			0.0	1.0	1.0	False	False	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes; mixed_or_partial_prn_epoch
FIN	Finland	original_candidate	fin_wp_only	Whole-cell primary vaccination era	wP_only	1952	2004	wP_only	wP_or_mixed_boosters	no	Finnish epidemiology study documenting the 2005 replacement of whole-cell vaccine by acellular vaccine	high	53	13	0	0	0	13	0	0	0	3475.0	0.0	0.0			0.0	1.0	1.0	False	False	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes
FIN	Finland	original_candidate	fin_ap_without_prn	Two-component acellular era without PRN	aP_without_PRN	2005	2008	aP_PT_FHA_only	adolescent_booster_present	no	Finnish epidemiology study documenting the 2005 replacement of whole-cell vaccine by acellular vaccine; Finnish antigen-expression study describing PT/FHA-only followed by PT/FHA/PRN acellular vaccine use	high	4	3	0	0	0	3	0	0	0	535.0	0.0	0.0			0.0	1.0	1.0	False	False	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes; prn_free_epoch
FIN	Finland	original_candidate	fin_ap_with_prn	Three-component acellular era with PRN	aP_with_PRN	2009	2025	aP_PT_FHA_PRN	adolescent_booster_present	yes	Finnish antigen-expression study describing PT/FHA-only followed by PT/FHA/PRN acellular vaccine use	high	17	4	4	0	4	0	0	0	0	432.0	4.59542835096787	0.0	0.0	0.0	0.0	0.0	0.0	False	True	False	False	0	0			False	False	none	0	0	0	boundary_epoch	insufficient_interpretable_genomes
FRA	France	promoted_from_screening	fra_wp_only	Whole-cell routine vaccination era	wP_only	1959	1997	wP_only	wP_or_unspecified_boosters	no	French Bordetella evolution study	high	39	4	0	0	0	4	0	0	0	0.0	0.0	0.0			0.0	1.0	1.0	False	False	False	False	0	0		2009.0	False	False	none	1	1	0	boundary_epoch	promoted_from_screening; insufficient_interpretable_genomes
FRA	France	promoted_from_screening	fra_ap_mixed	Mixed-brand acellular era	mixed_brand_heterogeneous	1998	2024	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	French Bordetella evolution study; French 2024 vaccination calendar; EMA Infanrix Hexa; EMA Hexyon; Merck VAXELIS PI	medium	27	18	11	1	10	7	1	0	0	548.0	30.959302034833755	1.044383053707846	0.09090909090909091	0.03373406327225213	0.05555555555555555	0.4444444444444444	0.38888888888888884	True	True	True	True	0	0		2009.0	False	True	none	1	1	0	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; mixed_or_partial_prn_epoch
GBR	United Kingdom	promoted_from_screening	gbr_wp_only	Whole-cell routine vaccination era	wP_only	1950	2003	wP_only	wP_or_unspecified_boosters	no	UKHSA vaccine timeline; pertussis immunisation history review	high	54	14	8	0	8	6	0	0	0	1570.0	12.033445734622832	0.0	0.0	0.0	0.0	0.42857142857142855	0.42857142857142855	True	True	True	True	0	0			False	False	none	0	0	0	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule
GBR	United Kingdom	promoted_from_screening	gbr_ap_prn_positive	Acellular routine vaccination era with PRN exposure	aP_with_PRN	2004	2024	ap_prn_positive	ap_prn_positive	yes	UKHSA hexavalent programme guidance; GOV.UK pertussis vaccine use; EMA Infanrix Hexa; Merck VAXELIS PI	high	21	15	8	0	8	7	0	0	0	15176.0	56.407633432583495	0.0	0.0	0.0	0.0	0.4666666666666667	0.4666666666666667	True	False	False	True	0	0			False	False	none	0	0	0	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; informative_but_bounds_wide
JPN	Japan	original_candidate	jpn_pre2012_mixed_ap	Historical acellular era with mixed PRN exposure	booster_modified_or_uncertain	1981	2011	aP_mixed_PRN_exposure	aP_mixed_PRN_exposure	mixed	Japanese PRN-deficient surveillance study; CDC review of pertactin-deficient expansion	medium	31	30	23	5	18	7	0	0	0	41878.0	49.670322056814186	24.192675076217277	0.21739130434782608	0.4870649932276476	0.16666666666666666	0.4	0.23333333333333336	True	True	True	True	0	0		1988.0	False	True	none	0	0	0	stage1_primary_epoch	passes_stage1_default_epoch_rule; mixed_or_partial_prn_epoch
