country_iso3	country_name	epoch_id	epoch_label	epoch_type	start_year	end_year	prn_in_formulation	n_prn_interpretable	n_prn_disrupted	naive_prevalence	ipw_prevalence	informative_epoch	stable_bounds_epoch	comparable_epoch	eligibility_status	eligibility_notes
AUS	Australia	aus_wp_only	Whole-cell era	wP_only	1945	1996	no	13	8	0.6153846153846154	0.7573644009768513	True	True	True	stage1_primary_epoch	passes_stage1_default_epoch_rule
AUS	Australia	aus_transition_mixed	Booster-only acellular transition period	transition_mixed	1997	1998	mixed	5	3	0.6	0.6871550656285209	False	True	False	boundary_epoch	insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch
AUS	Australia	aus_ap_with_prn	All-dose acellular era with PRN exposure	aP_with_PRN	1999	2025	yes	25	8	0.32	0.4820454979729497	True	True	True	stage1_primary_epoch	passes_stage1_default_epoch_rule; has_country_level_structure_reuse
BRA	Brazil	bra_mixed_prn	Mixed PRN-containing acellular / booster era	mixed_brand_heterogeneous	2014	2024	mixed	8	8	1.0	1.0	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse; mixed_or_partial_prn_epoch
CHN	China	chn_wp_only	Whole-cell routine vaccination era	wP_only	1978	2004	no	0	0			False	False	False	boundary_epoch	promoted_from_screening; insufficient_interpretable_genomes
CHN	China	chn_transition_mixed	DTaP introduction and mixed transition period	transition_mixed	2005	2011	mixed	0	0			False	False	False	boundary_epoch	promoted_from_screening; insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch
CHN	China	chn_ap_mixed	Post-switch acellular era with mixed PRN exposure	mixed_brand_heterogeneous	2012	2025	mixed	710	13	0.018309859154929577	0.07782371607722957	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse; mixed_or_partial_prn_epoch
CZE	Czechia	cze_ap_prn_positive	PRN-positive acellular era	aP_with_PRN	2007	2017	yes	9	0	0.0	0.0	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule
FRA	France	fra_wp_only	Whole-cell routine vaccination era	wP_only	1959	1997	no	0	0			False	False	False	boundary_epoch	promoted_from_screening; insufficient_interpretable_genomes
FRA	France	fra_ap_mixed	Mixed-brand acellular era	mixed_brand_heterogeneous	1998	2024	mixed	11	1	0.09090909090909091	0.03373406327225213	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; mixed_or_partial_prn_epoch
GBR	United Kingdom	gbr_wp_only	Whole-cell routine vaccination era	wP_only	1950	2003	no	8	0	0.0	0.0	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule
GBR	United Kingdom	gbr_ap_prn_positive	Acellular routine vaccination era with PRN exposure	aP_with_PRN	2004	2024	yes	8	0	0.0	0.0	True	False	False	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; informative_but_bounds_wide
JPN	Japan	jpn_pre2012_mixed_ap	Historical acellular era with mixed PRN exposure	booster_modified_or_uncertain	1981	2011	mixed	23	5	0.21739130434782608	0.4870649932276476	True	True	True	stage1_primary_epoch	passes_stage1_default_epoch_rule; mixed_or_partial_prn_epoch
JPN	Japan	jpn_ap_without_prn	Post-switch acellular era without PRN	aP_without_PRN	2012	2025	no	28	2	0.07142857142857142	0.03605398941535068	True	False	False	stage1_primary_epoch	passes_stage1_default_epoch_rule; informative_but_bounds_wide; prn_free_epoch
NZL	New Zealand	nzl_wp_only	Long whole-cell schedule era	wP_only	1958	1999	no	12	0	0.0	0.0	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule
NZL	New Zealand	nzl_ap_with_prn	Acellular schedule era with PRN-containing products	aP_with_PRN	2000	2025	yes	51	23	0.45098039215686275	0.46629845403229864	True	True	True	stage1_primary_epoch	promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse
USA	United States	usa_wp_only	Whole-cell routine vaccination era	wP_only	1935	1996	no	21	6	0.2857142857142857	0.5032808535610636	True	True	True	stage1_primary_epoch	passes_stage1_default_epoch_rule; has_package_level_anchor
USA	United States	usa_transition_mixed	DTaP-preferred transition period	transition_mixed	1997	1999	mixed	6	2	0.3333333333333333	0.30296270959230487	False	True	False	boundary_epoch	insufficient_interpretable_genomes; has_package_level_anchor; mixed_or_partial_prn_epoch; transition_epoch
USA	United States	usa_ap_prn_background	Sustained acellular background with PRN exposure	aP_with_PRN	2000	2025	yes	896	526	0.5870535714285714	0.5279777659639577	True	True	True	stage1_primary_epoch	passes_stage1_default_epoch_rule; has_package_level_anchor
