combo_id	min_interpretable_per_epoch	min_eligible_epochs	bound_width_policy	bound_width_max	confidence_policy	mechanism_anchor_required	package_level_anchor_required	country_iso3	country_name	country_mechanism_anchor	n_package_level_hard_anchors	n_eligible_epochs	stage1_epidemiologic_eligible	stage2_mechanistic_eligible	selection_state	included_in_stage1_under_combo	included_in_stage2_under_combo	prevalence_direction	final_interpretation_tier
1	6	2	wide	1.0	high_or_medium	False	False	AUS	Australia	recurrent_architecture	0	2	True	True	triangulated	True	True	downward	biologically interesting but uncertain
1	6	2	wide	1.0	high_or_medium	False	False	BRA	Brazil	recurrent_architecture	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
1	6	2	wide	1.0	high_or_medium	False	False	CHN	China	recurrent_architecture	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
1	6	2	wide	1.0	high_or_medium	False	False	CZE	Czechia	none	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
1	6	2	wide	1.0	high_or_medium	False	False	ESP	Spain	none	0	0	False	False	fails_stage1	False	False		
1	6	2	wide	1.0	high_or_medium	False	False	FIN	Finland	none	0	0	False	False	fails_stage1	False	False		
1	6	2	wide	1.0	high_or_medium	False	False	FRA	France	package_level	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
1	6	2	wide	1.0	high_or_medium	False	False	GBR	United Kingdom	none	0	2	True	False	stage1_only	True	False	uncertain_or_single_epoch_only	epidemiologically estimable but not triangulated
1	6	2	wide	1.0	high_or_medium	False	False	JPN	Japan	recurrent_architecture	0	2	True	True	triangulated	True	True	downward	compatible but bounded
1	6	2	wide	1.0	high_or_medium	False	False	NLD	Netherlands (Kingdom of the)	none	0	0	False	False	fails_stage1	False	False		
1	6	2	wide	1.0	high_or_medium	False	False	NZL	New Zealand	recurrent_architecture	0	2	True	True	triangulated	True	True	upward	compatible but bounded
1	6	2	wide	1.0	high_or_medium	False	False	USA	United States	package_level	1	3	True	True	triangulated	True	True	upward	strongly selection-compatible
2	6	2	wide	1.0	high_or_medium	True	False	AUS	Australia	recurrent_architecture	0	2	True	True	triangulated	True	True	downward	biologically interesting but uncertain
2	6	2	wide	1.0	high_or_medium	True	False	BRA	Brazil	recurrent_architecture	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
2	6	2	wide	1.0	high_or_medium	True	False	CHN	China	recurrent_architecture	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
2	6	2	wide	1.0	high_or_medium	True	False	CZE	Czechia	none	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
2	6	2	wide	1.0	high_or_medium	True	False	ESP	Spain	none	0	0	False	False	fails_stage1	False	False		
2	6	2	wide	1.0	high_or_medium	True	False	FIN	Finland	none	0	0	False	False	fails_stage1	False	False		
2	6	2	wide	1.0	high_or_medium	True	False	FRA	France	package_level	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
2	6	2	wide	1.0	high_or_medium	True	False	GBR	United Kingdom	none	0	2	True	False	stage1_only	True	False	uncertain_or_single_epoch_only	epidemiologically estimable but not triangulated
2	6	2	wide	1.0	high_or_medium	True	False	JPN	Japan	recurrent_architecture	0	2	True	True	triangulated	True	True	downward	compatible but bounded
2	6	2	wide	1.0	high_or_medium	True	False	NLD	Netherlands (Kingdom of the)	none	0	0	False	False	fails_stage1	False	False		
2	6	2	wide	1.0	high_or_medium	True	False	NZL	New Zealand	recurrent_architecture	0	2	True	True	triangulated	True	True	upward	compatible but bounded
2	6	2	wide	1.0	high_or_medium	True	False	USA	United States	package_level	1	3	True	True	triangulated	True	True	upward	strongly selection-compatible
3	6	2	wide	1.0	high_or_medium	True	True	AUS	Australia	recurrent_architecture	0	2	True	False	stage1_only	True	False	downward	biologically interesting but uncertain
3	6	2	wide	1.0	high_or_medium	True	True	BRA	Brazil	recurrent_architecture	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
3	6	2	wide	1.0	high_or_medium	True	True	CHN	China	recurrent_architecture	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
3	6	2	wide	1.0	high_or_medium	True	True	CZE	Czechia	none	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
3	6	2	wide	1.0	high_or_medium	True	True	ESP	Spain	none	0	0	False	False	fails_stage1	False	False		
3	6	2	wide	1.0	high_or_medium	True	True	FIN	Finland	none	0	0	False	False	fails_stage1	False	False		
3	6	2	wide	1.0	high_or_medium	True	True	FRA	France	package_level	0	1	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
3	6	2	wide	1.0	high_or_medium	True	True	GBR	United Kingdom	none	0	2	True	False	stage1_only	True	False	uncertain_or_single_epoch_only	epidemiologically estimable but not triangulated
3	6	2	wide	1.0	high_or_medium	True	True	JPN	Japan	recurrent_architecture	0	2	True	False	stage1_only	True	False	downward	compatible but bounded
3	6	2	wide	1.0	high_or_medium	True	True	NLD	Netherlands (Kingdom of the)	none	0	0	False	False	fails_stage1	False	False		
3	6	2	wide	1.0	high_or_medium	True	True	NZL	New Zealand	recurrent_architecture	0	2	True	False	stage1_only	True	False	upward	compatible but bounded
3	6	2	wide	1.0	high_or_medium	True	True	USA	United States	package_level	1	3	True	True	triangulated	True	True	upward	strongly selection-compatible
4	6	2	wide	1.0	high_only	False	False	AUS	Australia	recurrent_architecture	0	2	True	True	triangulated	True	True	downward	biologically interesting but uncertain
4	6	2	wide	1.0	high_only	False	False	BRA	Brazil	recurrent_architecture	0	0	False	False	fails_stage1	False	False	uncertain_or_single_epoch_only	context only
