country_iso3	country_name	candidate_status	candidate_note	n_manifest_epochs	n_epochs_with_any_genomes	n_informative_epochs	n_comparable_epochs	n_stage1_primary_epochs	informative_epoch_ids	comparable_epoch_ids	stage1_primary_epoch_ids	n_retained_genomes	n_prn_interpretable	n_prn_disrupted	n_prn_uninterpretable_or_uncertain	interpretability_fraction	max_epoch_bound_width	has_wp_epoch	has_transition_epoch	has_prn_positive_epoch	has_prn_negative_epoch	has_mixed_prn_epoch	first_local_origin_year	first_prn_detection_year	n_local_origins	n_local_rooted_package_reruns	n_local_rooted_consistent_packages	n_package_level_hard_anchors	country_mechanism_anchor	stage1_primary_default	stage2_triangulated_default	selection_state	narrative_role	dominant_disrupted_mechanism	screening_summary	selection_frequency_stage1	selection_frequency_stage2	selection_frequency_primary_only	selection_frequency_context	n_multiverse_combos	n_stage1_combos	n_stage2_combos	n_primary_only_combos	n_context_combos	first_failure_rule	epoch_interpretable_profile	epoch_bound_width_profile	epoch_confidence_profile	screening_exclusion_primary_reason	multiverse_screening_note
AUS	Australia	original_candidate	passes_stage1_default_epoch_rule; insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch; passes_stage1_default_epoch_rule; has_country_level_structure_reuse	3	3	2	2	2	aus_wp_only; aus_ap_with_prn	aus_wp_only; aus_ap_with_prn	aus_wp_only; aus_ap_with_prn	61	43	19	18	0.7049180327868853	0.3421052631578948	True	True	True	False	True		1971.0	0	0	0	0	recurrent_architecture	True	True	primary_and_triangulated	transition_country	IS481 insertion	triangulated_after_stage1	0.5	0.3333333333333333	0.16666666666666666	0.5	144	72	48	24	72	three_epoch_requirement	aus_wp_only=13; aus_transition_mixed=5; aus_ap_with_prn=25	aus_wp_only=0.188; aus_transition_mixed=0.286; aus_ap_with_prn=0.342	aus_wp_only=high; aus_transition_mixed=high; aus_ap_with_prn=high	three_epoch_requirement	Country remains Stage 1 estimable in part of the multiverse, but triangulation is not stable.
JPN	Japan	original_candidate	passes_stage1_default_epoch_rule; mixed_or_partial_prn_epoch; passes_stage1_default_epoch_rule; prn_free_epoch	2	2	2	2	2	jpn_pre2012_mixed_ap; jpn_ap_without_prn	jpn_pre2012_mixed_ap; jpn_ap_without_prn	jpn_pre2012_mixed_ap; jpn_ap_without_prn	82	70	7	12	0.8536585365853658	0.2333333333333333	False	False	False	True	True		1988.0	0	0	0	0	recurrent_architecture	True	True	primary_and_triangulated	PRN-free_or_PRN-removed_comparator	IS481 insertion	triangulated_after_stage1	0.25	0.16666666666666666	0.08333333333333333	0.75	144	36	24	12	108	high_confidence_only	jpn_pre2012_mixed_ap=23; jpn_ap_without_prn=47	jpn_pre2012_mixed_ap=0.233; jpn_ap_without_prn=0.096	jpn_pre2012_mixed_ap=medium; jpn_ap_without_prn=high	high_confidence_only	Country remains Stage 1 estimable in part of the multiverse, but triangulation is not stable.
NZL	New Zealand	promoted_from_screening	promoted_from_screening; passes_stage1_default_epoch_rule; promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse	2	2	2	2	2	nzl_wp_only; nzl_ap_with_prn	nzl_wp_only; nzl_ap_with_prn	nzl_wp_only; nzl_ap_with_prn	63	63	23	0	1.0	0.0	True	False	True	False	False	2012.0	2012.0	2	0	0	0	recurrent_architecture	True	True	primary_and_triangulated	transition_country	IS481 insertion	triangulated_after_stage1	0.5	0.3333333333333333	0.16666666666666666	0.5	144	72	48	24	72	three_epoch_requirement	nzl_wp_only=12; nzl_ap_with_prn=51	nzl_wp_only=0.000; nzl_ap_with_prn=0.000	nzl_wp_only=high; nzl_ap_with_prn=high	three_epoch_requirement	Country remains Stage 1 estimable in part of the multiverse, but triangulation is not stable.
USA	United States	original_candidate	passes_stage1_default_epoch_rule; has_package_level_anchor; insufficient_interpretable_genomes; has_package_level_anchor; mixed_or_partial_prn_epoch; transition_epoch	3	3	2	2	2	usa_wp_only; usa_ap_prn_background	usa_wp_only; usa_ap_prn_background	usa_wp_only; usa_ap_prn_background	951	908	517	43	0.9547844374342797	0.3333333333333333	True	True	True	False	True	2010.0	1939.0	6	2	1	1	package_level	True	True	primary_and_triangulated	transition_country	IS481 insertion	triangulated_after_stage1	0.5625	0.5625	0.0	0.4375	144	81	81	0	63	stable_across_tested_rules	usa_wp_only=21; usa_transition_mixed=6; usa_ap_prn_background=881	usa_wp_only=0.087; usa_transition_mixed=0.333; usa_ap_prn_background=0.041	usa_wp_only=high; usa_transition_mixed=medium; usa_ap_prn_background=high	stable_across_tested_rules	Country remains Stage 1 estimable in part of the multiverse, but triangulation is not stable.
GBR	United Kingdom	promoted_from_screening	promoted_from_screening; passes_stage1_default_epoch_rule	2	2	2	2	2	gbr_wp_only; gbr_ap_prn_positive	gbr_wp_only; gbr_ap_prn_positive	gbr_wp_only; gbr_ap_prn_positive	29	17	0	12	0.5862068965517241	0.4285714285714285	True	False	True	False	False			0	0	0	0	none	True	False	primary_only	transition_country	none_observed	stage1_primary_without_mechanistic_triangulation; no_country_specific_mechanism_layer	0.25	0.0	0.25	0.75	144	36	0	36	108	no_country_level_mechanism_anchor	gbr_wp_only=8; gbr_ap_prn_positive=9	gbr_wp_only=0.429; gbr_ap_prn_positive=0.400	gbr_wp_only=high; gbr_ap_prn_positive=high	no_country_level_mechanism_anchor	Country is Stage 1 estimable but remains primary-only because triangulation is absent or sensitive to stricter anchor rules.
BRA	Brazil	promoted_from_screening	promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse; mixed_or_partial_prn_epoch	1	1	1	1	1	bra_mixed_prn	bra_mixed_prn	bra_mixed_prn	8	8	8	0	1.0	0.0	False	False	False	False	True		2024.0	0	0	0	0	recurrent_architecture	False	False	context_only	boundary_or_context_only	IS481 insertion	fails_default_stage1_screen; fewer_than_two_stage1_default_epochs	0.0	0.0	0.0	1.0	144	0	0	0	144	fewer_than_two_liberal_stage1_epochs	bra_mixed_prn=8	bra_mixed_prn=0.000	bra_mixed_prn=medium	fewer_than_two_liberal_stage1_epochs	Country fails the liberal Stage 1 screen and is retained only as context.
CHN	China	promoted_from_screening	promoted_from_screening; insufficient_interpretable_genomes; promoted_from_screening; insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch; promoted_from_screening; passes_stage1_default_epoch_rule; has_country_level_structure_reuse; mixed_or_partial_prn_epoch	3	2	1	1	1	chn_ap_mixed	chn_ap_mixed	chn_ap_mixed	851	711	13	140	0.8354876615746181	0.1605667060212514	True	True	False	False	True		2022.0	0	0	0	0	recurrent_architecture	False	False	context_only	boundary_or_context_only	IS481 insertion	fails_default_stage1_screen; fewer_than_two_stage1_default_epochs	0.0	0.0	0.0	1.0	144	0	0	0	144	fewer_than_two_liberal_stage1_epochs	chn_wp_only=0; chn_transition_mixed=0; chn_ap_mixed=711	chn_wp_only=1.000; chn_transition_mixed=NA; chn_ap_mixed=0.161	chn_wp_only=high; chn_transition_mixed=medium; chn_ap_mixed=medium	fewer_than_two_liberal_stage1_epochs	Country fails the liberal Stage 1 screen and is retained only as context.
CZE	Czechia	promoted_from_screening	promoted_from_screening; passes_stage1_default_epoch_rule	1	1	1	1	1	cze_ap_prn_positive	cze_ap_prn_positive	cze_ap_prn_positive	9	9	0	0	1.0	0.0	False	False	True	False	False			0	0	0	0	none	False	False	context_only	boundary_or_context_only	none_observed	fails_default_stage1_screen; fewer_than_two_stage1_default_epochs	0.0	0.0	0.0	1.0	144	0	0	0	144	fewer_than_two_liberal_stage1_epochs	cze_ap_prn_positive=9	cze_ap_prn_positive=0.000	cze_ap_prn_positive=medium	fewer_than_two_liberal_stage1_epochs	Country fails the liberal Stage 1 screen and is retained only as context.
ESP	Spain	original_candidate	insufficient_interpretable_genomes; insufficient_interpretable_genomes; mixed_or_partial_prn_epoch; transition_epoch; insufficient_interpretable_genomes; mixed_or_partial_prn_epoch	4	2	0	0	0				9	8	0	1	0.8888888888888888	0.125	True	True	True	False	True			0	0	0	0	none	False	False	context_only	boundary_or_context_only	none_observed	fails_default_stage1_screen; fewer_than_two_stage1_default_epochs	0.0	0.0	0.0	1.0	144	0	0	0	144	fewer_than_two_liberal_stage1_epochs	esp_wp_only=0; esp_transition_mixed=0; esp_ap_with_prn=1; esp_booster_modified_uncertain=7	esp_wp_only=NA; esp_transition_mixed=NA; esp_ap_with_prn=0.000; esp_booster_modified_uncertain=0.125	esp_wp_only=medium; esp_transition_mixed=medium; esp_ap_with_prn=medium; esp_booster_modified_uncertain=medium	fewer_than_two_liberal_stage1_epochs	Country fails the liberal Stage 1 screen and is retained only as context.
FIN	Finland	original_candidate	insufficient_interpretable_genomes; insufficient_interpretable_genomes; prn_free_epoch	3	3	0	0	0				20	7	0	13	0.35	0.7692307692307693	True	False	True	True	False			0	0	0	0	none	False	False	context_only	boundary_or_context_only	none_observed	fails_default_stage1_screen; fewer_than_two_stage1_default_epochs	0.0	0.0	0.0	1.0	144	0	0	0	144	fewer_than_two_liberal_stage1_epochs	fin_wp_only=3; fin_ap_without_prn=0; fin_ap_with_prn=4	fin_wp_only=0.769; fin_ap_without_prn=1.000; fin_ap_with_prn=0.000	fin_wp_only=high; fin_ap_without_prn=high; fin_ap_with_prn=high	fewer_than_two_liberal_stage1_epochs	Country fails the liberal Stage 1 screen and is retained only as context.
