country_iso3	total_genomes	n_prn_intact	n_prn_disrupted	earliest_year	latest_year	prn_disrupted_pct
USA	951	388	501	1935	2025	56.4
CHN	856	700	13	1951	2024	1.8
JPN	85	67	2	1950	2025	2.9
NZL	63	40	23	1983	2018	36.5
AUS	61	24	3	1971	2024	11.1
GBR	34	19	0	1920	2012	0.0
ZAF	32	32	0	2015	2019	0.0
NLD	26	9	1	1949	2012	10.0
TWN	23	5	0	1992	2007	0.0
FRA	22	13	1	1993	2024	7.1
FIN	20	7	0	1953	2016	0.0
SWE	20	8	1	1956	2009	11.1
CAN	17	7	0	1994	2005	0.0
ITA	15	2	0	1994	2014	0.0
CZE	14	14	0	1954	2015	0.0
BRA	13	5	8	2004	2024	61.5
KEN	12	1	1	1975	1975	50.0
ARG	11	3	0	1969	2008	0.0
IND	11	8	0	1977	2023	0.0
DNK	9	5	0	1962	2007	0.0
ESP	9	8	0	2010	2024	0.0
POL	8	2	0	1963	2000	0.0
GTM	5	5	0	2014	2014	0.0
HKG	5	1	0	2002	2006	0.0
MEX	4	4	0	2008	2014	0.0
RUS	2	0	0	2001	2002	
HTI	1	1	0	2014	2014	0.0
NOR	1	1	0	2009	2009	0.0
