row_type	scenario_or_dimension	n_categories	max_absolute_fraction_gap	mean_absolute_fraction_gap	largest_gap_category	full_interpretable_fraction_largest_gap	tree_subset_fraction_largest_gap	n_scenarios	median_fitch_origin_events	min_fitch_origin_events	max_fitch_origin_events	proportion_rejecting_one_global_clone	notes	comparison_dimension	category	full_interpretable_count	tree_subset_count	tree_subset_fraction	model_auc	weight_mean	weight_median	weight_q95	weight_max	unweighted_tree_disrupted_fraction	ipw_tree_disrupted_fraction
representativeness_gap_summary	country	21	0.1843956043956044	0.026806209663352485	unknown	0.027142857142857142	0.21153846153846154						Tree-subset representativeness audit against the full PRN-interpretable cohort.												
representativeness_gap_summary	lineage_proxy	6	0.1471428571428571	0.05647741147741144	unknown	0.14714285714285713	0.0						Tree-subset representativeness audit against the full PRN-interpretable cohort.												
representativeness_gap_summary	mechanism_group	5	0.2093040293040293	0.08372161172161166	Intact	0.5342857142857143	0.7435897435897436						Tree-subset representativeness audit against the full PRN-interpretable cohort.												
representativeness_gap_summary	year_band	19	0.3671428571428571	0.053689994216309954	2015s	0.36714285714285716	0.0						Tree-subset representativeness audit against the full PRN-interpretable cohort.												
composition_balanced_resampling_summary	country_balanced							4	4.0	4.0	7.0		Balanced ASR resampling summary used as the representativeness-aware robustness layer.												
composition_balanced_resampling_summary	study_block_balanced							10	9.0	7.0	10.0		Balanced ASR resampling summary used as the representativeness-aware robustness layer.												
composition_balanced_resampling_summary	time_balanced							4	3.0	2.0	4.0		Balanced ASR resampling summary used as the representativeness-aware robustness layer.												
registered_asr_scenario_distribution	primary							1	11.0	11.0	11.0	1.0	Registered ASR scenario distribution before stochastic-mapping augmentation.												
registered_asr_scenario_distribution	resampling_country_balanced							4	4.0	4.0	7.0	1.0	Registered ASR scenario distribution before stochastic-mapping augmentation.												
registered_asr_scenario_distribution	resampling_study_block_balanced							10	9.0	7.0	10.0	1.0	Registered ASR scenario distribution before stochastic-mapping augmentation.												
registered_asr_scenario_distribution	resampling_time_balanced							4	3.0	2.0	4.0	1.0	Registered ASR scenario distribution before stochastic-mapping augmentation.												
registered_asr_scenario_distribution	rooting							4	11.0	11.0	11.0	0.75	Registered ASR scenario distribution before stochastic-mapping augmentation.												
registered_asr_scenario_distribution	support_threshold							2	11.0	11.0	11.0	1.0	Registered ASR scenario distribution before stochastic-mapping augmentation.												
tree_inclusion_model													Inverse-probability-of-tree-inclusion diagnostic; weights are descriptive and do not re-run ASR transitions.	overall	primary_asr_tree	1400.0	168.0	0.12	0.9204279723252938	1.3624549475400765	1.4016509035071554	1.8643069869390732	3.0362047175351092	0.24404761904761904	0.28612394677183944
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	AUS	45.0	4.0	0.023809523809523808	0.9204279723252938	1.732141992080814	1.3314997741451806	2.7908935788437357	3.0362047175351092	0.25	0.43821533272334834
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	CHN	155.0	1.0	0.005952380952380952	0.9204279723252938	1.4728957216878282	1.4728957216878282	1.4728957216878282	1.4728957216878282	0.0	0.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	FRA	11.0	3.0	0.017857142857142856	0.9204279723252938	1.2892004739856346	1.2580233707601625	1.454110300151125	1.475897736750121	0.3333333333333333	0.3252722381417566
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	GBR	18.0	1.0	0.005952380952380952	0.9204279723252938	2.7256133001415286	2.7256133001415286	2.7256133001415286	2.7256133001415286	0.0	0.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	JPN	56.0	4.0	0.023809523809523808	0.9204279723252938	1.4107691134445157	1.4050398824710273	1.572487065405458	1.57959815689208	0.0	0.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	NLD	6.0	6.0	0.03571428571428571	0.9204279723252938	1.1439685591458566	1.1373528243777677	1.2144548872801453	1.2375452016851167	0.16666666666666666	0.18030000209812427
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	NOR	1.0	1.0	0.005952380952380952	0.9204279723252938	1.1759541777421219	1.1759541777421219	1.1759541777421219	1.1759541777421219	0.0	0.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	SWE	2.0	2.0	0.011904761904761904	0.9204279723252938	1.2048431454079398	1.2048431454079398	1.2302115394318673	1.2330302498789705	0.5	0.5116974166215997
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	USA	930.0	113.0	0.6726190476190477	0.9204279723252938	1.4440324420428572	1.4242135246214143	1.8643069869390732	1.9128591771680337	0.26548672566371684	0.314740949122275
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	country	unknown	38.0	33.0	0.19642857142857142	0.9204279723252938	1.049380562017251	1.0275063220657679	1.1181997737901928	1.1518279398804006	0.21212121212121213	0.21278753156940655
