analysis_id	leave_out_country_iso3	term	posterior_mean	posterior_sd	approx_ci_lower	approx_ci_upper	direction	n_country_year_rows	n_countries	n_genome_level_trials	model_status	warning_messages	notes
component_grouped_binomial_country_cluster_primary		Intercept	-4.677513	nan	nan	nan	negative	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		dtp3_coverage_z	-1.034371	0.660846	-2.329628	0.260886	negative	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		log1p_reported_cases_z	-0.115292	1.103949	-2.279032	2.048449	negative	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		log1p_genomes_per_case_z	-9.087439	5.801200	-20.457792	2.282913	negative	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		years_since_ap_anchor_z	2.789612	0.475408	1.857814	3.721411	positive	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		prn_formulation_score_z	-43.784264	nan	nan	nan	negative	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		booster_score_z	45.522586	nan	nan	nan	positive	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		primary_ap_indicator_z	6.582471	7.686348	-8.482770	21.647713	positive	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_primary		post_covid_period_z	-2.643368	0.383265	-3.394568	-1.892168	negative	27	11	834	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	Intercept	-6.218317	nan	nan	nan	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	dtp3_coverage_z	-1.034371	0.667755	-2.343170	0.274428	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	log1p_reported_cases_z	-0.115292	1.127424	-2.325043	2.094460	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
