row_type	comparison_id	country_iso3	country_name	previous_epoch_id	next_epoch_id	previous_epoch_label	next_epoch_label	dropped_block_id	dropped_block_level	dropped_block_size_combined	dropped_block_is_dominant_previous_epoch	dropped_block_is_dominant_next_epoch	dropped_block_is_dominant_any	previous_n_total_samples	previous_n_interpretable	previous_n_disrupted	previous_naive_prevalence	previous_block_equalized_prevalence	previous_n_total_blocks	previous_n_interpretable_blocks	previous_n_subblocks	next_n_total_samples	next_n_interpretable	next_n_disrupted	next_naive_prevalence	next_block_equalized_prevalence	next_n_total_blocks	next_n_interpretable_blocks	next_n_subblocks	delta_naive_prevalence	delta_block_equalized_prevalence	delta_naive_sign	delta_block_equalized_sign	direction_matches_observed_naive	direction_matches_observed_block_equalized	n_bootstrap_replicates	previous_subblock_count	next_subblock_count	previous_base_block_count	next_base_block_count	observed_previous_naive_prevalence	observed_next_naive_prevalence	observed_delta_naive_prevalence	bootstrap_previous_naive_prevalence_median	bootstrap_next_naive_prevalence_median	bootstrap_delta_naive_prevalence_median	bootstrap_delta_naive_prevalence_lower_95	bootstrap_delta_naive_prevalence_upper_95	bootstrap_delta_naive_sign_flip_fraction	bootstrap_delta_naive_non_estimable_fraction	observed_previous_block_equalized_prevalence	observed_next_block_equalized_prevalence	observed_delta_block_equalized_prevalence	bootstrap_previous_block_equalized_prevalence_median	bootstrap_next_block_equalized_prevalence_median	bootstrap_delta_block_equalized_prevalence_median	bootstrap_delta_block_equalized_prevalence_lower_95	bootstrap_delta_block_equalized_prevalence_upper_95	bootstrap_delta_block_equalized_sign_flip_fraction	bootstrap_delta_block_equalized_non_estimable_fraction	dominant_block_id	dominant_block_level	dominant_block_removed_delta_naive_prevalence	dominant_block_removed_delta_block_equalized_prevalence	study_dependence_call	notes
leave_one_out	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure	PRJEB2274	bioproject_accession	28.0	True	True	True	0.0	0.0	0.0			0.0	0.0	0.0	26.0	15.0	3.0	0.2	0.26666666666666666	5.0	5.0	15.0			non_estimable	non_estimable	False	False																															
leave_one_out	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure	PRJNA432286	study_accession	10.0	False	False	False	16.0	13.0	8.0	0.6153846153846154	0.6153846153846154	1.0	1.0	9.0	28.0	24.0	8.0	0.3333333333333333	0.36666666666666664	5.0	5.0	15.0	-0.2820512820512821	-0.24871794871794878	decrease	decrease	True	True																															
leave_one_out	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure	PRJNA562796	study_accession	10.0	False	False	False	16.0	13.0	8.0	0.6153846153846154	0.6153846153846154	1.0	1.0	9.0	28.0	17.0	8.0	0.47058823529411764	0.36666666666666664	5.0	5.0	15.0	-0.14479638009049778	-0.24871794871794878	decrease	decrease	True	True																															
leave_one_out	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure	PRJNA695314	bioproject_accession	3.0	False	False	False	16.0	13.0	8.0	0.6153846153846154	0.6153846153846154	1.0	1.0	9.0	35.0	22.0	7.0	0.3181818181818182	0.3	5.0	5.0	17.0	-0.29720279720279724	-0.31538461538461543	decrease	decrease	True	True																															
leave_one_out	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure	PRJNA1178746	bioproject_accession	2.0	False	False	False	16.0	13.0	8.0	0.6153846153846154	0.6153846153846154	1.0	1.0	9.0	36.0	23.0	6.0	0.2608695652173913	0.16666666666666666	5.0	5.0	19.0	-0.3545150501672241	-0.4487179487179488	decrease	decrease	True	True																															
leave_one_out	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure	PRJNA390469	bioproject_accession	1.0	False	False	False	16.0	13.0	8.0	0.6153846153846154	0.6153846153846154	1.0	1.0	9.0	37.0	24.0	8.0	0.3333333333333333	0.36666666666666664	5.0	5.0	19.0	-0.2820512820512821	-0.24871794871794878	decrease	decrease	True	True																															
observed	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure				False	False	False	16.0	13.0	8.0	0.6153846153846154	0.6153846153846154	1.0	1.0	9.0	38.0	25.0	8.0	0.32	0.3055555555555555	6.0	6.0	20.0	-0.2953846153846154	-0.3098290598290599	decrease	decrease	True	True																															
observed	GBR:gbr_wp_only->gbr_ap_prn_positive	GBR	United Kingdom	gbr_wp_only	gbr_ap_prn_positive	Whole-cell routine vaccination era	Acellular routine vaccination era with PRN exposure				False	False	False	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0			non_estimable	non_estimable	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJDB20413	bioproject_accession	20.0	False	True	True	30.0	23.0	5.0	0.21739130434782608	0.20833333333333334	3.0	3.0	27.0	32.0	28.0	2.0	0.07142857142857142	0.0625	5.0	4.0	15.0	-0.14596273291925466	-0.14583333333333334	decrease	decrease	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJEB2274	bioproject_accession	15.0	True	False	True	15.0	15.0	0.0	0.0	0.0	2.0	2.0	15.0	52.0	28.0	2.0	0.07142857142857142	0.0625	6.0	4.0	21.0	0.07142857142857142	0.0625	increase	increase	False	False																															
