context_id	country_or_region	period	evidence_type	n_total_or_frame	n_prn_producing	n_prn_deficient	n_amr_or_a2047g	headline	interpretive_role	reference
japan_otsuka_2012_expression_bridge	Japan	1990-2010 isolate collection	PRN immunoblot plus prn mechanism sequencing	121	88	33		Thirty-three of 121 isolates were PRN-negative; 24 carried an 84-bp signal-sequence deletion and nine carried IS481 insertions with ACTAGG direct repeats.	phenotype-genotype bridge for deletion and IS481 lesion classes	Otsuka et al. PLoS ONE 2012;7:e31985. doi:10.1371/journal.pone.0031985
usa_pawloski_2014_expression_bridge	United States	1935-2012 surveillance isolate collection	Western blot plus prn sequencing	1300		306		PRN deficiency was confirmed in 306 isolates, including 276 prn::IS481 isolates, and exceeded half of tested isolates by 2012.	phenotype-genotype bridge for recurrent IS481-mediated PRN loss	Pawloski et al. Clin. Vaccine Immunol. 2014;21:119-125. doi:10.1128/CVI.00717-13
australia_lam_2014_expression_bridge	Australia	2008-2012 rise in PRN-negative isolates	Western immunoblot plus prn/promoter mechanism assessment	320	224	96		Ninety-six of 320 isolates were PRN-negative; among 80 mechanism-resolved PRN-negative isolates, 77 had insertion-sequence lesions, while 16 PRN-negative isolates lacked an obvious prn/promoter change.	phenotype-genotype bridge and caution that protein testing can reveal lesions missed by locus inspection	Lam et al. Emerg. Infect. Dis. 2014;20:626-633. doi:10.3201/eid2004.131478
europe_eupert_1998_2015_expression_bridge	Europe	EUpert I-IV, 1998-2015	ELISA antigen-expression testing across European isolate collections	661		66		PRN-deficient frequency increased from 1.0% in 1998-2001 to 24.9% in 2012-2015; IS481 and promoter inversion were the largest mechanism classes.	multi-country phenotype-genotype bridge for recurrent PRN loss	Barkoff et al. Euro Surveill. 2019;24:1700832. doi:10.2807/1560-7917.ES.2019.24.7.1700832
france_2023_2024_resurgence	France	June 2023-April 2024	national-reference-centre isolate phenotype and WGS	67	66		1	Post-pandemic resurgence was dominated by pertactin-producing isolates despite one macrolide-resistant isolate.	post-pandemic counterexample to a one-way PRN-loss resurgence model	Rodrigues et al. Euro Surveill. 2024;29:2400459. doi:10.2807/1560-7917.ES.2024.29.31.2400459
belgium_2022_2023_expression	Belgium	2022-2023, after pre-pandemic PRN-negative peak	national-reference-centre PRN expression testing and WGS	94	94	0		All 94 tested post-COVID isolates expressed pertactin after a pre-pandemic PRN-negative peak around 65%.	post-pandemic counterexample and phenotype bridge	Martini et al. Microbiol. Spectr. 2026;14:e01535-25. doi:10.1128/spectrum.01535-25
belgium_2000_2023_expression_bridge	Belgium	2000-2023 national-reference-centre collection	PRN ELISA plus WGS mechanism assessment	432	252	180		Among 432 isolates tested by PRN ELISA, 180 were PRN-negative; WGS on 416 isolates linked loss to IS481, deletion, premature stop, promoter inversion and promoter deletion classes.	phenotype-genotype bridge and post-COVID boundary	Martini et al. Microbiol. Spectr. 2026;14:e01535-25. doi:10.1128/spectrum.01535-25
netherlands_2023_2024_prn_positive_boundary	Netherlands	2023-2024 resurgence	official national surveillance report				0	The reported PRN-deficient fraction fell to 7% in 2023-2024 after 13% in 2015-2017 and 25% in 2018-2020; no 23S rRNA A2047G macrolide-resistance mutation was detected.	post-pandemic counterexample and AMR-negative boundary condition	RIVM. Resurgence of Bordetella pertussis in the Netherlands in 2023-2024. Report 2025-0092. https://www.rivm.nl/bibliotheek/rapporten/2025-0092.pdf
slovenia_2002_2020_expression	Slovenia	2002-2020; high-frequency period 2017-2020	ELISA antigen-expression testing plus prn WGS	123	75	48		Overall 48 of 123 isolates were PRN-deficient; 44 of 49 isolates from 2017-2020 did not express PRN.	direct PRN-expression bridge for genome-defined prn lesions	Barkoff et al. Emerg. Infect. Dis. 2024;30:2429-2432. doi:10.3201/eid3011.231393
slovenia_2024_resurgence_boundary	Slovenia	2024 epidemic	national epidemic isolate report			0	0	The 2024 epidemic report found no pertactin-deficient or macrolide-resistant isolates.	post-pandemic counterexample after an earlier high PRN-deficient period	Kastrin et al. Clin. Microbiol. Infect. 2025. doi:10.1016/j.cmi.2025.04.016
beijing_2022_2023_amr_antigen_deficiency	Beijing, China	2022-2023	sentinel-hospital isolate WGS and antimicrobial susceptibility	44	14	30	44	All isolates were erythromycin resistant with the same 23S mutation background; 30 were Prn deficient and two were Fha deficient.	AMR and antigen-deficiency boundary condition, not a direct vaccine-programme contrast	Zhou et al. China CDC Wkly. 2024;6:437-441. doi:10.46234/ccdcw2024.085
shanghai_2018_2024_mr_mt28	Shanghai, China	2018-2024	active-surveillance isolate WGS and antimicrobial susceptibility	178				MT28 increased from 16% before 2020 to 61.17% after 2020; post-2020 MT28 isolates were macrolide resistant, ptxP3-associated and carried prn150 antigen profiles.	AMR and lineage-background context, especially for China-dominated post-pandemic signals	Xu et al. J. Clin. Microbiol. 2025;63:e0106425. doi:10.1128/jcm.01064-25
global_mr_mt28_post_pandemic	Global, enriched for China and post-pandemic genomes	pre-, during and post-COVID-19 comparison	global genomic surveillance and AMR/antigen-profile analysis	8117				MR-MT28 expanded in eastern China and spread internationally; most non-Chinese MR-MT28 isolates were PRN-deficient.	lineage and AMR context for interpreting post-pandemic public-genome signals	Zhang et al. J. Infect. 2026;92:106718. doi:10.1016/j.jinf.2026.106718
eu_eea_2024_resurgence	EU/EEA	2024	regional epidemiological surveillance report	209674				EU/EEA reported 209,674 pertussis cases in 2024, with resurgence attributed to multiple immunity, behaviour and testing factors.	epidemiological boundary showing that resurgence is not reducible to PRN loss	ECDC. Annual epidemiological report for 2024: Pertussis. 2026.
