baseline	dimension	level	full_denominator	full_n	full_pct	tree_denominator	tree_n	tree_pct	full_value	tree_value	note
retained_cohort	country	Argentina	2247	12	0.0053404539385847796	157	0	0	NA	NA	NA
retained_cohort	country	Australia	2247	43	0.01913662661326213	157	1	0.006369426751592357	NA	NA	NA
retained_cohort	country	Brazil	2247	13	0.005785491766800178	157	0	0	NA	NA	NA
retained_cohort	country	Canada	2247	17	0.0075656430796617715	157	0	0	NA	NA	NA
retained_cohort	country	China	2247	755	0.33600356030262574	157	1	0.006369426751592357	NA	NA	NA
retained_cohort	country	Czech Republic	2247	14	0.006230529595015576	157	0	0	NA	NA	NA
retained_cohort	country	Denmark	2247	11	0.004895416110369382	157	0	0	NA	NA	NA
retained_cohort	country	Finland	2247	16	0.007120605251446373	157	0	0	NA	NA	NA
retained_cohort	country	France	2247	22	0.009790832220738763	157	3	0.01910828025477707	NA	NA	NA
retained_cohort	country	Germany	2247	2	8.900756564307966e-4	157	0	0	NA	NA	NA
retained_cohort	country	Guatemala	2247	5	0.0022251891410769915	157	0	0	NA	NA	NA
retained_cohort	country	Haiti	2247	1	4.450378282153983e-4	157	0	0	NA	NA	NA
retained_cohort	country	Hong Kong	2247	5	0.0022251891410769915	157	0	0	NA	NA	NA
retained_cohort	country	India	2247	11	0.004895416110369382	157	0	0	NA	NA	NA
retained_cohort	country	Italy	2247	15	0.006675567423230975	157	0	0	NA	NA	NA
retained_cohort	country	Japan	2247	53	0.02358700489541611	157	1	0.006369426751592357	NA	NA	NA
retained_cohort	country	Kenya	2247	12	0.0053404539385847796	157	0	0	NA	NA	NA
retained_cohort	country	Mexico	2247	4	0.0017801513128615932	157	0	0	NA	NA	NA
retained_cohort	country	Netherlands	2247	26	0.011570983533600357	157	6	0.03821656050955414	NA	NA	NA
retained_cohort	country	New Zealand	2247	63	0.028037383177570093	157	0	0	NA	NA	NA
retained_cohort	country	Norway	2247	1	4.450378282153983e-4	157	1	0.006369426751592357	NA	NA	NA
retained_cohort	country	Peru	2247	6	0.0026702269692923898	157	0	0	NA	NA	NA
retained_cohort	country	Poland	2247	8	0.0035603026257231864	157	0	0	NA	NA	NA
retained_cohort	country	Russia	2247	2	8.900756564307966e-4	157	0	0	NA	NA	NA
retained_cohort	country	South Africa	2247	32	0.014241210502892745	157	0	0	NA	NA	NA
