model_id	analysis_cohort	response_variable	model_family	country_filter	year_window	n_country_year_cells	n_countries	covariates	random_effects	weighting_scheme	estimate_term	effect_scale	effect_estimate	ci_lower	ci_upper	p_value	q_value	sensitivity_label	focal_exposure_family	excluded_country_iso3	notes	exposure_formula_id	exposure_lambda	exposure_gamma	exposure_delta_prn	uses_ipw_response
m7_primary_ipw_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v3_score	log_odds	0.9553874273559334	0.7256656742269806	1.1851091804848863	3.596643853734257e-16	4.795525138312342e-16	primary_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	2.0000669410654943	1.6293028129241227	2.370831069206866	3.970884152167457e-26	1.588353660866983e-25	primary_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	3.8308454252553528	3.0547923730780098	4.606898477432695	3.843949014036453e-22	7.687898028072906e-22	primary_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	1.6077595568787777	0.9556157710179156	2.2599033427396398	1.3511624107343976e-06	1.3511624107343976e-06	primary_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v2_score	log_odds	1.423117942105261	1.1907294823052916	1.6555064019052306	3.4349493261574754e-33	1.3739797304629902e-32	primary_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	1.8676648780839895	1.4707627193127564	2.2645670368552224	2.8893883111090567e-20	5.778776622218113e-20	primary_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	3.2771523345984197	2.545278044961578	4.009026624235261	1.687967446137002e-18	2.2506232615160026e-18	primary_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	1.7161694039588056	0.8340549613825852	2.598283846535026	0.00013717068051072784	0.00013717068051072784	primary_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v1_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v1_covariates	2000-2024	29	9	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v1_score	log_odds	1.1565058073137833	0.9247814809848962	1.3882301336426703	1.343878062165515e-22	2.68775612433103e-22	primary_ap_exposure_v1	v1		workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v1_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v1_covariates	2000-2024	29	9	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	2.206923697479432	1.8104611810656943	2.6033862138931703	1.0278643767636766e-27	4.111457507054706e-27	primary_ap_exposure_v1	v1		workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
