scope	mechanism_group	n_genomes	n_unique_events	dominant_prn_event_id	dominant_event_count	dominant_event_share	top3_share	top5_share	hhi	shannon_entropy	effective_number	gini	null_draws	null_model	null_dominant_event_share_mean	null_dominant_event_share_p_ge_observed	null_top3_share_mean	null_top3_share_p_ge_observed	null_effective_number_mean	null_effective_number_p_le_observed	null_gini_mean	null_gini_p_ge_observed	stratum_definition	n_strata	dominant_event_stratum_count	dominant_event_stratum_share	top3_event_stratum_share	null_dominant_event_stratum_share_mean	null_dominant_event_stratum_share_p_ge_observed	null_top3_event_stratum_share_mean	null_top3_event_stratum_share_p_ge_observed	notes	row_type	weighting_scheme	largest_block_share	top3_prn_event_ids	top3_matches_current_naive	interpretation_call	scheme	replicate_id	tip_count	disrupted_tip_count	sampled_country_count	sampled_time_bin_count	sampled_study_block_count	sampled_subblock_count	fitch_origin_events	pastml_origin_events	pastml_strict_origin_events	pastml_compatible_origin_events	resampling_design_purpose	n_replicates	tip_count_median	tip_count_min	tip_count_max	tip_count_q25	tip_count_q75	disrupted_tip_count_median	disrupted_tip_count_min	disrupted_tip_count_max	disrupted_tip_count_q25	disrupted_tip_count_q75	sampled_country_count_median	sampled_country_count_min	sampled_country_count_max	sampled_country_count_q25	sampled_country_count_q75	sampled_time_bin_count_median	sampled_time_bin_count_min	sampled_time_bin_count_max	sampled_time_bin_count_q25	sampled_time_bin_count_q75	sampled_study_block_count_median	sampled_study_block_count_min	sampled_study_block_count_max	sampled_study_block_count_q25	sampled_study_block_count_q75	sampled_subblock_count_median	sampled_subblock_count_min	sampled_subblock_count_max	sampled_subblock_count_q25	sampled_subblock_count_q75	fitch_origin_events_median	fitch_origin_events_min	fitch_origin_events_max	fitch_origin_events_q25	fitch_origin_events_q75	pastml_origin_events_median	pastml_origin_events_min	pastml_origin_events_max	pastml_origin_events_q25	pastml_origin_events_q75	pastml_strict_origin_events_median	pastml_strict_origin_events_min	pastml_strict_origin_events_max	pastml_strict_origin_events_q25	pastml_strict_origin_events_q75	pastml_compatible_origin_events_median	pastml_compatible_origin_events_min	pastml_compatible_origin_events_max	pastml_compatible_origin_events_q25	pastml_compatible_origin_events_q75
overall	all	617	15	prn_evt_coding_disrupted_is481__is481__gap1043	370	0.5996758508914101	0.8816855753646677	0.9627228525121555	0.4066180005201097	1.29192339164165	3.63978055098988	0.8097244732576986	5000	equal_probability_multinomial_over_observed_unique_events	0.08515559157212318	0.0	0.24147649918962724	0.0	14.832717215541487	0.0	0.08139703943814154	0.0										interpretable_disrupted_genomes_only;baseline_equal_probability_null_over_observed_event_catalogue	current_naive_reference	none																																																																				
overall	all	617	15	prn_evt_coding_disrupted_is481__is481__gap1043	370	0.5996758508914101	0.8816855753646677	0.9627228525121555	0.4066180005201097	1.29192339164165	3.63978055098988	0.8097244732576986	5000	mutational_accessibility_weighted_multinomial	0.19212350081037277	0.0	0.42306126418152346	0.0	12.439894705167909	0.0	0.33196365207995676	0.0										interpretable_disrupted_genomes_only;approximate_accessibility_weights:IS481_hotspot_high,rearrangement_intermediate,other_low	current_naive_reference	none																																																																				
overall	all	617	15	prn_evt_coding_disrupted_is481__is481__gap1043	370	0.5996758508914101	0.8816855753646677	0.9627228525121555	0.4066180005201097	1.29192339164165	3.63978055098988	0.8097244732576986	5000	lineage_or_ST_presence_permutation_preserving_event_burden									lineage_or_st_stratum	11.0	8.0	0.7272727272727273	1.0	0.9810363636363636	1.0	0.9991454545454544	0.9906	event_labels_permuted_across_fixed_lineage_or_ST_strata;tests_independent_reuse_not_genome_burden	current_naive_reference	none																																																																				
overall	all	617	15	prn_evt_coding_disrupted_is481__is481__gap1043	370	0.5996758508914101	0.8816855753646677	0.9627228525121555	0.4066180005201097	1.29192339164165	3.63978055098988	0.8097244732576986	5000	country_year_presence_permutation_preserving_event_burden									country_year_stratum	59.0	32.0	0.5423728813559322	0.9830508474576272	0.7621084745762712	1.0	0.9388067796610169	0.1062	event_labels_permuted_across_fixed_country_year_strata;tests_sampling_burst_robustness_not_genome_burden	current_naive_reference	none																																																																				
overall	all	617	15	prn_evt_coding_disrupted_is481__is481__gap1045		0.17395070977986526	0.5218521293395958	0.7631427352551966	0.13540867243780158	2.1561668231605284	7.385051355993011												study_block_equalized	29								Equal-weighted across study/BioProject blocks among interpretable disrupted genomes only.	study_block_equalized	study_block_equalized	0.8119935170178282	prn_evt_coding_disrupted_is481__is481__gap1045;prn_evt_coding_disrupted_is481__is481__gap54;prn_evt_other_disruption__insertion_like__gap204	False	concentrated_but_partly_study_amplified																																																																
overall	all	116	12	prn_evt_coding_disrupted_is481__is481__gap1043	52	0.4482758620689655	0.8275862068965517	0.9137931034482758	0.3119797859690844	1.5269578952962481	3.2053358742258222												drop_largest_block	28								Observed event weights after removing largest block PRJNA279196.	drop_largest_block_naive	drop_largest_block_naive	0.8119935170178282	prn_evt_coding_disrupted_is481__is481__gap1043;prn_evt_insufficient__not_available_current_step3;prn_evt_rearrangement__within_contig__cov58	False	concentrated_but_partly_study_amplified																																																																
																																seed=20262408;country_cap=10;time_cap=10;selected_tip_count=1842;representativeness_stress_test_only_not_unbiased_population_resample	replicate						study_block_balanced	1	1842	552	26	11	1716	1827	22	3	3	0	representativeness_stress_test_only																																																			
																																seed=20262409;country_cap=10;time_cap=10;selected_tip_count=1842;representativeness_stress_test_only_not_unbiased_population_resample	replicate						study_block_balanced	2	1842	552	26	11	1716	1827	22	3	3	0	representativeness_stress_test_only																																																			
																																seed=20262410;country_cap=10;time_cap=10;selected_tip_count=1842;representativeness_stress_test_only_not_unbiased_population_resample	replicate						study_block_balanced	3	1842	552	24	11	1716	1827	22	3	3	0	representativeness_stress_test_only																																																			
																																seed=20262411;country_cap=10;time_cap=10;selected_tip_count=1842;representativeness_stress_test_only_not_unbiased_population_resample	replicate						study_block_balanced	4	1842	552	22	11	1716	1827	22	3	3	0	representativeness_stress_test_only																																																			
